 ,221481_262,230066_080,233668_051,233668_052,233668_054,233668_055,233668_066,233668_067,233668_068,233668_069,233668_078,233668_081,233668_094,233668_202,233668_239,233668_241,233668_256,233795_127,221481_259,221065_104,233667_244,233668_270,221713_007,221516_016,233667_240,233667_243,233667_247,233667_249,233667_253,233667_254,233667_258,221065_103,233667_236,233667_241
="VISl1",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15",="2",="0",="4",="0",="0",="0",="5",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="5",="0",="0",="0",="9",="4",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0"
="VISl4",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="2",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0"
="VISl5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="5",="2",="11",="0",="0",="1",="0",="0",="3",="0",="0",="0",="3",="0",="0",="0",="0"
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0"
="VISp1",="3",="5",="1",="13",="0",="0",="0",="1",="0",="0",="1",="1",="2",="3",="0",="0",="1",="45",="150",="7",="1",="0",="16",="29",="1",="0",="1",="1",="0",="4",="1",="0",="1",="2"
="VISp2/3",="2",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="5",="4",="2",="0",="0",="26",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="4",="5",="1",="0",="0",="14",="0",="0",="1",="0",="0",="1",="4",="1",="2",="0",="1"
="VISp6a",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="13",="0",="0",="7",="1",="0",="7",="0",="0",="7",="3",="4",="0",="1",="2"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0"
