 ,221057_066,221057_067,221057_068,221057_070,221057_079,221057_080,221057_081,221057_084,221057_087,221057_092,221057_093,221057_094,221057_096,221057_106,221057_108,221057_109,221057_110,221057_148,221057_161,221057_166,221364_053,221479_227,221481_469,221481_472,221701_058,221701_059,221703_320,221727_013,221727_016,221728_145,221728_147,221728_148,221728_150,221728_153,221728_154,221728_173,230011_199,230011_215,230011_217,230059_001,230066_093,230066_115,230066_116,230066_117,230066_118,230066_119,230066_129,230066_132,230066_133,230066_134,230066_135,233379_057,221481_471,230066_136,231686_045,231686_046,231686_048,233379_098,233379_099,233666_007,221229_110,221229_111,221229_113,221479_234,230066_137,233666_008,233281_099,233285_060,233285_066,221536_027,233284_187,233285_070,233666_004,233666_006,233666_009,233281_097,233284_186,233284_188,233284_190,233285_049,233285_050,233285_053,233285_054,233285_055,233285_056,233285_058,233285_059,233285_062,233285_072,233285_073,233285_074,233285_075
="MOp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs1",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="24",="24",="4",="0",="2",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="7",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="14",="0",="17",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="23",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="1",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="7",="0",="0",="0",="0",="3",="9",="0",="0",="1",="0",="0",="0",="5",="1",="0",="0",="7",="0",="1",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="18",="8",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="25",="4",="0",="5",="0",="0",="0",="0",="7",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="11",="0",="0",="0",="0",="0",="4",="0",="0",="2",="0",="0",="0",="34",="1",="0",="0",="13",="0",="1",="0",="0",="0",="16",="0",="0",="0",="8",="0",="0",="0",="0",="0",="8",="4",="0",="6",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="4",="0",="0",="0",="0",="3",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="2",="0",="0",="0",="0",="1",="11",="1",="0",="0",="1",="0",="0",="11",="3",="0",="0",="1",="0",="0",="0",="0",="0",="14",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="6",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="4",="0",="0",="0",="0",="1",="9",="2",="0",="1",="0",="0",="0",="1",="2",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="18",="0",="0",="0",="0",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="7",="0",="0",="5",="7",="6",="0",="0",="4",="3",="2",="2",="0",="0",="0",="0",="2",="1",="0",="7",="2",="0",="1",="0",="0",="0",="4",="1",="1",="4",="0",="0",="5",="5",="5",="7",="1",="0",="3",="2",="0",="0",="0",="0",="0",="0",="7",="3",="6",="11",="6",="1",="0",="0",="6",="1",="0",="2",="14",="0",="9",="1",="2",="22",="2",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="14",="2",="0",="7",="6",="6",="1",="4",="0",="4",="2",="10",="7",="0",="0",="1",="1",="1",="0",="16",="1",="0",="3",="3",="12",="0",="7",="2",="1",="8",="4",="1",="2",="13",="19",="3",="0",="0",="11",="1",="0",="0",="0",="0",="0",="1",="3",="0",="22",="15",="4",="0",="0",="2",="8",="2",="1",="1",="2",="0",="11",="6",="7",="8",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="2",="4",="5",="4",="3",="2",="1",="1",="2",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="1",="0",="0",="3",="0",="0",="1",="0",="0",="0",="1",="1",="0",="1",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="4",="0",="3",="1",="3",="0",="3",="3",="1",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="10",="3",="7",="12",="10",="2",="4",="2",="3",="3",="0",="0",="7",="0",="0",="2",="2",="5",="0",="0",="1",="0",="0",="0",="0",="0",="6",="8",="0",="2",="0",="3",="2",="3",="8",="6",="2",="1",="9",="13",="0",="2",="0",="0",="1",="0",="0",="4",="6",="7",="7",="0",="0",="0",="2",="1",="0",="0",="2",="0",="3",="5",="4",="16",="3",="1",="0",="0",="0",="0",="1",="1",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="7",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="5",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="3",="3",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="VISam6b",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="3",="0",="0",="0",="0",="3",="0",="4",="0",="11",="5",="0",="3",="11",="3",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="25",="14",="6",="0",="3",="0",="0",="0",="0",="2",="2",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="0",="0",="0",="0",="0",="2",="0",="3",="0",="17",="7",="0",="2",="34",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="12",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="9",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="5",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="4",="0",="0",="0",="0",="0",="0",="0",="0",="5",="3",="0",="0",="0",="9",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="0",="0",="2",="11",="29",="1",="0",="1",="15",="6",="0",="7",="4",="1",="0",="6",="0",="0",="2",="1",="8",="49",="0",="4",="7",="10",="2",="4",="1",="4",="1",="2",="10",="3",="26",="5",="1",="3",="0",="1",="7",="9",="0",="1",="5",="2",="9",="1",="2",="17",="1",="38",="50",="17",="1",="1",="1",="3",="2",="1",="26",="12",="29",="13",="6",="2",="1",="1",="4",="0",="41",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp2/3",="0",="0",="1",="24",="10",="0",="0",="0",="8",="13",="3",="35",="2",="10",="0",="18",="0",="0",="23",="0",="24",="53",="1",="3",="18",="30",="4",="8",="0",="3",="0",="2",="2",="2",="8",="0",="1",="0",="0",="5",="29",="5",="3",="0",="0",="0",="3",="0",="1",="3",="0",="22",="2",="7",="1",="0",="0",="10",="1",="6",="12",="31",="6",="7",="1",="3",="0",="0",="1",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0"
="VISp4",="1",="1",="1",="7",="1",="1",="0",="0",="8",="5",="1",="3",="0",="2",="1",="0",="0",="0",="2",="0",="3",="3",="0",="1",="0",="5",="0",="0",="1",="0",="0",="1",="0",="1",="2",="1",="3",="1",="2",="2",="1",="1",="0",="3",="0",="0",="6",="0",="1",="2",="0",="4",="1",="1",="0",="0",="2",="10",="7",="4",="10",="1",="1",="3",="3",="5",="0",="0",="0",="0",="2",="0",="3",="15",="0",="5",="0",="0",="0",="5",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="VISp5",="3",="4",="7",="11",="3",="1",="1",="2",="7",="9",="0",="2",="0",="3",="4",="3",="0",="3",="8",="1",="7",="12",="2",="0",="12",="12",="3",="7",="0",="1",="0",="1",="1",="4",="6",="3",="12",="1",="1",="5",="4",="2",="1",="5",="2",="2",="13",="1",="1",="5",="1",="4",="5",="0",="0",="0",="1",="1",="1",="3",="16",="0",="4",="1",="5",="7",="0",="0",="0",="1",="14",="1",="3",="26",="4",="6",="2",="0",="2",="2",="1",="1",="2",="5",="0",="1",="3",="0",="0",="1",="0",="0"
="VISp6a",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="1",="1",="2",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="1",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="3",="0",="3",="0",="4",="0",="0",="4",="0",="0",="5",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="1"
="VISpm1",="18",="10",="14",="6",="6",="13",="2",="22",="19",="13",="38",="17",="9",="6",="27",="9",="7",="1",="1",="8",="0",="5",="7",="12",="14",="42",="7",="9",="16",="11",="29",="15",="11",="23",="5",="8",="0",="11",="11",="2",="11",="58",="24",="13",="6",="25",="16",="7",="9",="6",="4",="10",="42",="10",="14",="3",="11",="11",="7",="0",="11",="9",="21",="26",="3",="6",="0",="11",="4",="0",="3",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0"
="VISpm2/3",="20",="4",="6",="11",="12",="10",="6",="14",="19",="18",="50",="46",="14",="49",="12",="19",="8",="4",="22",="19",="30",="37",="26",="35",="46",="56",="11",="28",="12",="4",="32",="16",="9",="26",="13",="0",="4",="3",="20",="17",="10",="49",="24",="8",="8",="14",="8",="12",="5",="14",="6",="8",="5",="10",="6",="3",="2",="4",="8",="2",="13",="24",="3",="12",="1",="5",="0",="1",="0",="0",="3",="0",="3",="9",="2",="0",="4",="1",="7",="3",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0"
="VISpm4",="1",="5",="3",="0",="2",="1",="2",="3",="2",="4",="8",="6",="3",="3",="6",="2",="2",="0",="0",="2",="3",="1",="12",="6",="0",="8",="0",="2",="2",="0",="1",="3",="0",="5",="4",="4",="0",="14",="2",="0",="1",="7",="5",="0",="4",="5",="0",="1",="0",="0",="1",="5",="12",="5",="4",="12",="9",="18",="5",="1",="8",="1",="2",="1",="2",="0",="0",="0",="0",="0",="12",="6",="4",="3",="0",="1",="11",="6",="2",="2",="0",="8",="2",="3",="3",="0",="4",="1",="0",="0",="0",="1"
="VISpm5",="8",="4",="10",="5",="6",="3",="7",="19",="6",="10",="17",="15",="11",="10",="35",="2",="4",="12",="10",="15",="4",="0",="4",="5",="6",="12",="9",="9",="5",="2",="11",="12",="4",="1",="9",="7",="3",="16",="5",="15",="5",="28",="7",="11",="26",="15",="20",="22",="14",="15",="15",="6",="14",="18",="3",="1",="3",="3",="0",="4",="17",="8",="2",="6",="28",="4",="4",="1",="0",="4",="34",="31",="17",="17",="5",="14",="15",="4",="15",="4",="4",="6",="7",="10",="7",="2",="7",="2",="3",="11",="6",="1"
="VISpm6a",="0",="1",="0",="1",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="5",="0",="0",="1",="0",="0",="0",="0",="1",="0",="3",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="2",="0",="7",="7",="2",="0",="2",="10",="2",="2",="0",="5",="10",="4",="2",="4",="4",="4",="4",="5",="4",="2",="3",="1",="4",="9",="1",="3"
="VISli5",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="1",="0",="0",="4",="1",="0",="2",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="2",="1",="0",="0",="1",="1",="2",="0",="1",="0",="0",="0",="9",="2",="0",="3",="7",="5",="0",="4",="0",="0",="0",="1",="0",="13",="4",="9",="2",="7",="2",="0",="2",="2",="0",="2",="0",="0",="0",="0",="4",="9",="0",="3",="20",="5",="0",="0",="1",="6",="24",="6",="1",="20",="0",="0",="1",="0",="0",="0",="1",="0",="2",="0",="16",="8",="2",="2",="4",="0",="13",="21",="3",="4",="7",="0",="2",="9",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="6",="10"
="RSPagl6a",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="3",="1",="0",="6",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="2",="4",="0",="2",="0",="1",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2"
="RSPd1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15",="0",="0",="0",="1",="0",="0",="4",="0",="1",="4",="0",="0",="1",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="24",="0",="0",="23",="28",="0",="9",="9",="29",="0",="17",="10",="8",="5",="23",="8",="19",="0",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
