 ,221065_113,221475_122,221622_013,221622_016,221702_016,221702_017,221705_020,230110_035,233795_033,233795_034,233795_035,221705_024,221063_064,221063_065,221063_072,221065_116,221419_058,221419_060,221419_063,221423_021,221423_072,221705_019,231688_014,221065_097,221423_001,221423_002,221423_004,221423_008,221423_026,221423_066,231688_019,221423_027,221423_067,221481_263,231688_021,231688_025,231688_015
="ENTl2",="11",="0",="0",="0",="10",="0",="0",="0",="35",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="8",="0",="0",="0",="15",="0",="0",="0",="22",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="8",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="5",="0",="0",="0",="3",="0",="0",="0",="4",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="5",="20",="3",="0",="2",="0",="18",="11",="1",="18",="0",="1",="0",="0",="0",="0",="0",="0"
="ENTl6a",="2",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="7",="0",="0",="0",="0",="16",="6",="0",="21",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm1",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="3",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="2",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="2",="0",="1",="0",="3",="3",="0",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISpl4",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpl5",="0",="1",="1",="0",="11",="1",="0",="0",="1",="9",="0",="0",="0",="0",="0",="20",="1",="0",="1",="0",="3",="3",="0",="3",="9",="0",="0",="0",="0",="4",="3",="0",="0",="10",="0",="2",="3"
="VISpl6a",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="13",="0",="0",="0",="0",="1",="0",="0",="2",="2",="0",="0",="0",="2",="5",="0",="0",="0",="0",="0",="0",="0"
="VISpl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor1",="4",="11",="22",="4",="4",="14",="24",="20",="9",="17",="25",="10",="0",="0",="0",="0",="56",="9",="16",="3",="1",="33",="0",="0",="0",="0",="0",="1",="0",="4",="4",="0",="25",="1",="5",="0",="3"
="VISpor2/3",="21",="20",="17",="3",="11",="10",="16",="17",="16",="11",="24",="31",="4",="0",="0",="0",="23",="7",="14",="6",="5",="46",="0",="0",="0",="0",="0",="6",="1",="14",="25",="0",="1",="0",="1",="0",="0"
="VISpor4",="1",="5",="9",="0",="0",="4",="0",="0",="0",="2",="1",="4",="0",="0",="0",="0",="7",="2",="7",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1"
="VISpor5",="12",="19",="20",="8",="10",="15",="21",="5",="12",="15",="17",="21",="1",="6",="2",="24",="28",="25",="26",="10",="14",="34",="1",="2",="20",="15",="24",="9",="11",="4",="18",="2",="13",="12",="6",="12",="12"
="VISpor6a",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="0",="3",="1",="0",="6",="1",="0",="0",="9",="11",="0",="2",="4",="12",="12",="19",="14",="21",="10",="10",="2",="0",="0",="7",="3",="2"
="VISpor6b",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="1",="0",="2",="4",="0",="0",="2",="1",="2",="4",="1",="2",="0",="1",="0",="0",="0",="0",="0",="0"
="RSPd6a",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="2",="3",="0",="0",="0",="0",="0",="0",="0",="5",="1",="1",="0",="0",="0",="0",="0",="0"
="TEa1",="1",="3",="10",="2",="0",="0",="0",="11",="0",="0",="0",="14",="0",="1",="0",="0",="11",="3",="8",="1",="9",="2",="0",="0",="0",="0",="0",="4",="2",="0",="1",="0",="14",="0",="2",="0",="0"
="TEa2/3",="1",="12",="3",="2",="0",="0",="0",="5",="0",="0",="1",="30",="0",="0",="0",="0",="11",="6",="5",="1",="4",="1",="0",="0",="0",="0",="2",="7",="1",="6",="7",="0",="1",="0",="0",="0",="0"
="TEa4",="3",="2",="3",="1",="0",="0",="2",="1",="0",="0",="0",="1",="0",="0",="0",="0",="5",="5",="6",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="TEa5",="2",="5",="21",="8",="0",="0",="3",="2",="0",="0",="4",="16",="0",="0",="0",="0",="21",="13",="25",="8",="5",="3",="5",="0",="3",="4",="5",="16",="1",="25",="11",="0",="25",="0",="7",="0",="0"
="PERI2/3",="1",="3",="0",="0",="4",="2",="0",="0",="2",="0",="3",="0",="0",="0",="0",="0",="4",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0"
="PERI5",="0",="1",="0",="2",="1",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0"
="PERI6a",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0"
="PERI6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ECT1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="3",="0",="0",="0",="0"
="ECT2/3",="1",="6",="0",="0",="3",="1",="0",="1",="0",="0",="5",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="5",="0",="1",="0",="0",="2",="0",="0"
="APr",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="dhc",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="ec",="2",="0",="0",="0",="0",="0",="5",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="4",="0",="0",="0",="0",="0",="1",="7",="10",="1",="0",="1",="0",="0",="2",="0",="0"
="fp",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="4",="2",="7",="2",="0",="1",="0",="2",="2",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0"
