 ,221364_075,221366_039,221366_040,221366_041,221480_104,221481_199,221481_539,221737_009,221737_010,221737_011,221737_012,230010_054,230010_055,230011_156,230011_157,230011_158,230011_159,230011_172,230011_173,230011_176,230011_177,230059_011,230059_026,230059_027,230109_010,230113_004,230113_007,230114_018,233379_041,233379_042,233379_146,233795_068,233795_069,233795_071,233795_076,233795_077,233795_080,233795_107,233795_108,233795_109,233795_110,233795_111,233795_112,221089_019,221089_020,221089_034,221090_075,221090_076,221090_083,221090_085,221090_088,221090_089,221090_106,221090_107,221090_111,221365_040,221426_060,221475_210,221477_057,221478_745,221478_749,221478_796,221481_182,221481_183,221481_190,221481_192,221481_200,230114_067,230114_084,231685_298,231686_049,233379_043,233379_138,233379_139,233379_140,221090_082,221090_086,221090_087,221090_091,221090_112,221365_082,221426_058,221475_204,221475_205,221475_246,221476_057,221481_177,221481_178,233379_120,221365_071,221366_042,221426_059,221426_064,221426_067,221426_080,221477_066,221535_021,233285_033,221514_018,221536_031,221538_007,221538_008,221538_019,221538_020,233282_046,233282_047,233282_050,233285_003,233285_035,233285_036,233285_103,233285_104,233285_105,233285_106,233285_107,233285_108,233285_109
="SSp-bfd4",="2",="17",="8",="3",="16",="0",="18",="13",="2",="4",="2",="7",="2",="16",="23",="4",="8",="10",="3",="6",="2",="6",="31",="5",="1",="2",="8",="1",="1",="4",="5",="9",="4",="0",="0",="2",="0",="0",="4",="2",="1",="2",="21",="0",="0",="1",="22",="0",="0",="0",="0",="0",="5",="5",="8",="0",="1",="13",="0",="1",="0",="0",="0",="8",="8",="12",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="4",="0",="0",="15",="2",="18",="10",="23",="6",="0",="0",="0",="1",="0",="5",="10",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="SSp-ll6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="4",="0",="22",="0",="0",="0",="0",="10",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="22",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="28",="0",="0",="0",="0",="12",="0",="11",="18",="26",="30",="10",="3",="23",="6",="9",="0",="41",="2",="8",="0",="13",="8",="0",="0",="17",="0",="0",="9",="0",="0",="0",="18",="45",="0",="13",="0",="13",="8",="0",="0",="0",="0",="20",="0",="0",="16",="28",="34",="0",="0",="117",="0",="0",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="5",="0",="6",="0",="0",="0",="0",="16",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="41",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="38",="0",="0",="0",="0",="3",="0",="13",="13",="12",="16",="3",="2",="2",="3",="2",="0",="2",="0",="1",="0",="0",="3",="0",="0",="6",="0",="0",="3",="0",="0",="0",="4",="9",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="1",="0",="11",="5",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="1",="1",="0",="1",="0",="0",="0",="0",="3",="0",="0",="4",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="1",="0",="0",="1",="0",="0",="4",="0",="0",="0",="17",="0",="0",="0",="8",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="0",="1",="0",="0",="0",="0",="5",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0"
="VISam5",="0",="0",="0",="0",="0",="1",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="1",="0",="0",="4",="1",="0",="0",="0",="1",="0",="0",="4",="0",="11",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="0",="1",="2",="0",="0",="1",="1",="0",="9",="1",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="9",="2",="9",="13",="7",="26",="3",="6",="29",="26",="6",="3",="55",="1",="1",="34",="10",="15",="1",="10",="4",="0",="2",="0",="11",="0",="0",="24",="40",="8",="7",="2",="1",="53",="27",="28",="1",="15",="6",="11",="20",="20",="0",="0",="12",="2",="22",="8",="9",="18",="7",="3",="0",="1",="2",="6",="26",="11",="54",="39",="40",="7",="3",="6",="86",="5",="80",="18",="4",="1",="33",="82",="85",="58",="7",="69",="37",="3",="10",="9",="5",="17",="3",="18",="0",="4",="3",="16",="21",="0",="32",="15",="8",="63",="6",="61",="0",="4",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
