neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
195616_035,3406.667236328125,1988.2388916015625,5961.46484375,False,211,ACAd2/3,ACAd,2/3,2/3,0,0,0,1,7,8,0.0,0.0,0.0,100.7034,3304.8768,3405.5802,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.029570115541545608,0.9704298844584545,,,,0.009930151315645747,0.0021180819811497968,ACAd_to_VISp_FB,FB,ACAd,VISp
200199_069,5195.6767578125,1354.299072265625,5938.05712890625,False,211,ACAd2/3,ACAd,2/3,2/3,9,0,0,1,0,10,2756.8597,527.7231,324.8978,500.3653,406.3296,4516.1755,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.9,0.0,0.0,0.1,0.0,0.6104412239958344,0.11685176982161123,0.07194091549365166,0.11079403357996162,0.08997205710894096,0.003264583975746027,0.0,0.0,0.0019985398667733355,0.0,ACAd_to_VISp_FB,FB,ACAd,VISp
221729_037,4841.66015625,1665.1400146484375,5890.5400390625,False,211,ACAd2/3,ACAd,2/3,2/3,1,0,0,0,0,1,320.7841,0.0,0.0,0.0,0.0,320.7841,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0031173614901736087,,,,,ACAd_to_VISp_FB,FB,ACAd,VISp
195047_007,4590.0654296875,1808.9046630859373,6125.30712890625,False,1015,ACAd5,ACAd,5,5,3,0,0,0,0,3,664.542,14.7066,0.0,327.6784,2439.6183,3446.5453,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.19281394618547448,0.004267055477262986,0.0,0.09507445034887543,0.707844547988387,0.004514387352492393,0.0,,0.0,0.0,ACAd_to_VISp_FB,FB,ACAd,VISp
195047_009,5057.24853515625,1655.126220703125,6151.94921875,False,1015,ACAd5,ACAd,5,5,1,0,0,4,3,8,58.1129,0.0,300.5426,1959.0997,2299.0601,4616.8153,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.125,0.0,0.0,0.5,0.375,0.012587226523876751,0.0,0.0650973843376407,0.4243400640263863,0.49797532511209625,0.017207883275486165,,0.0,0.002041754179228347,0.0013048810685723266,ACAd_to_VISp_FB,FB,ACAd,VISp
195049_033,4514.228515625,1596.022216796875,6025.7099609375,False,1015,ACAd5,ACAd,5,5,6,0,0,0,0,6,3821.9687,248.2571,121.6928,257.1989,3216.4210000000003,7665.538500000001,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.4985910252750018,0.03238612655849292,0.015875309999421435,0.033552619949661716,0.41959491821742206,0.0015698715690685798,0.0,0.0,0.0,0.0,ACAd_to_VISp_FB,FB,ACAd,VISp
195049_036,4910.91748046875,1923.7044677734373,6068.17333984375,False,1015,ACAd5,ACAd,5,5,0,0,0,0,2,2,0.0,0.0,0.0,0.0,294.2785,294.2785,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.006796283112765629,ACAd_to_VISp_FB,FB,ACAd,VISp
195051_005,4374.89111328125,1845.6715087890625,6252.72900390625,False,1015,ACAd5,ACAd,5,5,0,0,0,0,1,1,0.0,0.0,0.0,0.0,306.8856,306.8856,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0032585432486894137,ACAd_to_VISp_FB,FB,ACAd,VISp
195051_019,4513.8076171875,1908.1485595703125,6097.53076171875,False,1015,ACAd5,ACAd,5,5,1,0,0,0,0,1,85.935,0.0,0.0,0.0,0.0,85.935,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01163670215860825,,,,,ACAd_to_VISp_FB,FB,ACAd,VISp
195051_025,4698.1650390625,1672.249755859375,6105.537109375,False,1015,ACAd5,ACAd,5,5,13,1,0,0,0,14,4957.2676,128.5201,0.0,0.0,0.0,5085.7877,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.974729558608984,0.02527044139101599,0.0,0.0,0.0,0.0026224123950863575,0.007780884079610893,,,,ACAd_to_VISp_FB,FB,ACAd,VISp
