neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
233379_118,8220.080078125,1201.6099853515625,8915.759765625,False,312782608,VISrl2/3,VISrl,2/3,2/3,0,0,1,0,0,1,0.0,0.0,62.4813,0.0,0.0,62.4813,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01600478863275892,,,VISp_to_VISal_FF,FF,VISp,VISal
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,3,0,1,0,0,4,2591.9044,0.0,200.2568,0.0,0.0,2792.1612,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.75,0.0,0.25,0.0,0.0,0.9282789260161627,0.0,0.07172107398383733,0.0,0.0,0.001157450097310688,,0.004993588232709201,,,VISp_to_VISal_FF,FF,VISp,VISal
221714_039,8581.7001953125,1838.469970703125,9698.1904296875,False,312782582,VISli2/3,VISli,2/3,2/3,11,3,3,2,0,19,1237.5951,2647.6283,390.7047,1819.1245,1657.0447000000001,7752.0973,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5789473684210527,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.0,0.1596464868932953,0.341537031533389,0.050399870496981504,0.23466223779208756,0.2137543732842466,0.008888205843736776,0.0011330895654801695,0.00767843335388594,0.0010994299730447256,0.0,VISal_to_VISp_FB,FB,VISal,VISp
230110_021,8274.8603515625,1726.81005859375,9889.0595703125,False,696,AUDpo1,AUDpo,1,1,3,0,2,1,0,6,1993.6794,1083.0686,1046.1021,536.1403,1646.8748,6305.8652,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3161627051590002,0.17175574891769016,0.16589350815808748,0.08502248034100063,0.2611655574242215,0.0015047554787394604,0.0,0.001911859272627404,0.0018651834230704164,0.0,VISal_to_VISp_FB,FB,VISal,VISp
233668_062,10156.7001953125,1886.9100341796875,8816.5,False,269,VISpl2/3,VISpl,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,188.7648,0.0,188.7648,data/axon_length_byNeuron_VISp_to_VISli_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.005297597857227618,,VISp_to_VISli_FF,FF,VISp,VISli
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,2,0,0,0,0,2,1759.9065,87.9728,0.0,0.0,296.2268,2144.1061,data/axon_length_byNeuron_VISp_to_VISli_FF.csv,1.0,0.0,0.0,0.0,0.0,0.820811292873986,0.04103005910015368,0.0,0.0,0.1381586480258603,0.0011364240088891087,0.0,,,0.0,VISp_to_VISli_FF,FF,VISp,VISli
233795_057,8970.580078125,2069.6201171875,9882.7802734375,False,1127,TEa2/3,TEa,2/3,2/3,1,0,10,7,0,18,119.0979,310.9477,2875.2754,3067.2563,268.8772,6641.4545,data/axon_length_byNeuron_VISli_to_VISp_FB.csv,0.05555555555555555,0.0,0.5555555555555556,0.3888888888888889,0.0,0.017932502586594547,0.04681921708565496,0.432928570089579,0.4618350242405485,0.04048468599762296,0.008396453673826323,0.0,0.003477927714333034,0.0022821698988767258,0.0,VISli_to_VISp_FB,FB,VISli,VISp
221478_820,9076.5595703125,1961.5999755859373,1827.699951171875,False,573,VISl4,VISl,4,4,4,4,0,2,0,10,899.7477,1393.566,210.1584,2432.6334,2347.8877,7283.9932,data/axon_length_byNeuron_VISli_to_VISp_FB.csv,0.4,0.4,0.0,0.2,0.0,0.12352396210364393,0.19131895949600833,0.02885208624302395,0.3339697516466655,0.32233524051065837,0.004445690719742879,0.002870334092536701,0.0,0.0008221542958343004,0.0,VISli_to_VISp_FB,FB,VISli,VISp
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,0,0,0,2,0,2,0.0,0.0,0.0,320.442,0.0,320.442,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0062413790951248585,,VISp_to_ACAd_FF,FF,VISp,ACAd
220191_079,6087.93017578125,1279.9300537109375,6026.66015625,False,610,RSPd5,RSPd,5,5,0,0,0,1,0,1,0.0,0.0,0.0,202.9426,1097.2982,1300.2408,data/axon_length_byNeuron_ACAd_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15608078134450173,0.8439192186554982,,,,0.0049275016679593145,0.0,ACAd_to_VISp_FB,FB,ACAd,VISp
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,1,0,0,0,0,1,248.2907,0.0,0.0,0.0,0.0,248.2907,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0040275370764994425,,,,,VISp_to_VISa_FF,FF,VISp,VISa
233668_062,10156.7001953125,1886.9100341796875,8816.5,False,269,VISpl2/3,VISpl,2/3,2/3,0,1,0,2,0,3,0.0,267.735,0.0,975.1427,342.0074,1584.8851,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.1689302271817686,0.0,0.6152765900821454,0.21579318273608605,,0.003735036509981885,,0.0020509818716788835,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
233667_242,9933.5595703125,2005.5799560546875,2751.219970703125,False,902,VISpl5,VISpl,5,5,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2.2048,2.2048,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.45355587808417996,VISp_to_VISpor_FF,FF,VISp,VISpor
233668_062,10156.7001953125,1886.9100341796875,8816.5,False,269,VISpl2/3,VISpl,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,1534.9737,109.5686,1644.5423,data/axon_length_byNeuron_VISp_to_VISl_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.933374410618687,0.06662558938131297,,,,0.0006514769601589916,0.0,VISp_to_VISl_FF,FF,VISp,VISl
233379_118,8220.080078125,1201.6099853515625,8915.759765625,False,312782608,VISrl2/3,VISrl,2/3,2/3,0,0,1,1,0,2,0.0,0.0,313.7614,78.1086,0.0,391.87,data/axon_length_byNeuron_VISp_to_VISl_FF.csv,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.8006772654196544,0.19932273458034552,0.0,,,0.0031871351925380244,0.012802687540168433,,VISp_to_VISl_FF,FF,VISp,VISl
233667_242,9933.5595703125,2005.5799560546875,2751.219970703125,False,902,VISpl5,VISpl,5,5,0,1,1,1,0,3,0.0,184.7559,167.0974,371.1972,878.2367999999999,1601.2873,data/axon_length_byNeuron_VISp_to_VISl_FF.csv,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.11537960739462556,0.10435191736048866,0.2318117429645511,0.5484567322803346,,0.005412547041799477,0.005984533571437976,0.0026939858382552455,0.0,VISp_to_VISl_FF,FF,VISp,VISl
233667_255,9796.83984375,2037.1400146484373,2392.080078125,False,902,VISpl5,VISpl,5,5,1,0,0,5,0,6,302.2508,443.3053,643.3355,1369.7725,35.9298,2794.5939,data/axon_length_byNeuron_VISp_to_VISl_FF.csv,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.10815553558604706,0.1586295955201219,0.23020715102827644,0.49015082298719687,0.01285689487835782,0.0033085106805341787,0.0,0.0,0.0036502411896866083,0.0,VISp_to_VISl_FF,FF,VISp,VISl
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,5,0,0,0,0,5,3713.1448,0.0,0.0,0.0,273.96450000000004,3987.1093,data/axon_length_byNeuron_VISp_to_VISl_FF.csv,1.0,0.0,0.0,0.0,0.0,0.9312874367401967,0.0,0.0,0.0,0.0687125632598033,0.001346567470247861,,,,0.0,VISp_to_VISl_FF,FF,VISp,VISl
233667_242,9933.5595703125,2005.5799560546875,2751.219970703125,False,902,VISpl5,VISpl,5,5,0,0,0,3,0,3,0.0,0.0,0.0,551.7873,207.1689,758.9562,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7270344454660229,0.2729655545339771,,,,0.005436877579458607,0.0,VISp_to_TEa_FF,FF,VISp,TEa
230110_028,9219.919921875,2423.340087890625,9973.349609375,False,312782636,VISpor2/3,VISpor,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,825.2860000000001,825.2860000000001,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0012117011557205622,TEa_to_VISp_FB,FB,TEa,VISp
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,6,0,1,0,0,7,1584.9923,238.3843,106.3276,417.8143,312.3896,2659.9081,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.5958823539805754,0.08962125420799312,0.03997416301713582,0.15707847199683328,0.11744375679746227,0.003785507349152422,0.0,0.009404895812564188,0.0,0.0,VISp_to_VISam_FF,FF,VISp,VISam
221474_195,7991.9599609375,1178.3399658203125,4249.27978515625,False,940,cing,cing,,,0,0,0,5,13,18,0.0,0.0,0.0,986.8496,5247.381899999999,6234.2315,data/axon_length_byNeuron_VISam_to_VISp_FB.csv,0.0,0.0,0.0,0.2777777777777778,0.7222222222222222,0.0,0.0,0.0,0.15829530873211878,0.8417046912678812,,,,0.00506662818731446,0.00247742593311152,VISam_to_VISp_FB,FB,VISam,VISp
233282_078,7548.2001953125,1208.2099609375,7335.81982421875,False,940,cing,cing,,,2,0,0,1,0,3,473.3483,0.0,0.0,299.9891,0.0,773.3374,data/axon_length_byNeuron_VISam_to_VISp_FB.csv,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6120851002421452,0.0,0.0,0.3879148997578547,0.0,0.004225218512456895,,,0.0033334544488449747,,VISam_to_VISp_FB,FB,VISam,VISp
233284_183,8623.3603515625,1356.9599609375,7653.240234375,False,484682512,scwm,scwm,,,15,0,0,1,0,16,4637.5494,0.0,0.0,411.9804,986.7041,6036.2339,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.9375,0.0,0.0,0.0625,0.0,0.7682852382509564,0.0,0.0,0.06825123194778783,0.16346352980125572,0.0032344668932259785,,,0.002427299939511686,0.0,VISp_to_VISpm_FF,FF,VISp,VISpm
233281_099,8382.0400390625,1105.280029296875,7135.18017578125,False,940,cing,cing,,,1,0,0,0,0,1,506.7793,0.0,0.0,5.5313,78.4883,590.7989,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.8577864650729715,0.0,0.0,0.009362407411388206,0.13285112751564027,0.0019732455528471667,,,0.0,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
233666_006,9115.5400390625,725.8040161132812,4154.06005859375,False,778,VISp5,VISp,5,5,4,9,15,26,5,59,783.3822,1218.9883,2283.3236,4350.1052,875.0274000000001,9510.826700000001,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.06779661016949153,0.15254237288135594,0.2542372881355932,0.4406779661016949,0.0847457627118644,0.08236741397043854,0.12816849033743827,0.24007624910250966,0.45738455101910325,0.09200329557051018,0.005106064447213634,0.007383171766291769,0.006569371069435799,0.005976866950252146,0.0057141067811133685,VISpm_to_VISp_FB,FB,VISpm,VISp
233668_062,10156.7001953125,1886.9100341796875,8816.5,False,269,VISpl2/3,VISpl,2/3,2/3,2,22,6,17,1,48,250.908,6382.8641,1444.5443,9169.6502,901.1441,18149.1107,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.041666666666666664,0.4583333333333333,0.125,0.3541666666666667,0.020833333333333332,0.013824809608990922,0.35169018501826643,0.07959311747434544,0.5052396424029746,0.049652245495422534,0.007971049149489056,0.003446728561869271,0.004153559015116394,0.0018539420402318074,0.0011097004352578017,VISp_to_VISpl_FF,FF,VISp,VISpl
233667_242,9933.5595703125,2005.5799560546875,2751.219970703125,False,902,VISpl5,VISpl,5,5,0,0,0,4,4,8,56.5535,123.2325,47.5102,805.9585,1790.2789,2823.5335999999998,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,0.0,0.0,0.5,0.5,0.020029334873153275,0.043644779010244474,0.016826504207352093,0.2854432120092355,0.6340561699000147,0.0,0.0,0.0,0.0049630346971959475,0.002234288746853912,VISp_to_VISpl_FF,FF,VISp,VISpl
233667_255,9796.83984375,2037.1400146484373,2392.080078125,False,902,VISpl5,VISpl,5,5,0,2,1,2,2,7,291.6498,864.4603,386.7264,1434.4334,593.3165,3570.5863999999997,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0816812050816079,0.24210597452564095,0.10830893211266364,0.40173608458263327,0.16616780369745432,0.0,0.0023135822431637407,0.0025858074338860754,0.0013942787444854534,0.003370882151431824,VISp_to_VISpl_FF,FF,VISp,VISpl
