neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_111,8702.900390625,444.7820129394531,6952.240234375,False,965,RSPagl2/3,RSPagl,2/3,2/3,19,4,0,2,0,25,6030.0761,2088.3932,596.6315,1642.9695,0.0,10358.0703,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.76,0.16,0.0,0.08,0.0,0.5821621137288477,0.20161990983977007,0.05760064208098684,0.15861733435039538,0.0,0.0031508723413954925,0.0019153481250561437,0.0,0.0012173080510624208,,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_112,8562.0400390625,374.4200134277344,7046.56005859375,False,671,RSPagl1,RSPagl,1,1,2,3,1,3,0,9,276.105,682.7301,1460.3064,4453.5344,1253.4552,8126.1311,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.03397742377058131,0.08401662385190906,0.17970500131360176,0.5480510153226545,0.1542499357412533,0.007243621086180981,0.004394122948438922,0.0006847877952188664,0.0006736222807664852,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_113,8379.259765625,359.08599853515625,7049.080078125,False,965,RSPagl2/3,RSPagl,2/3,2/3,6,0,0,0,1,7,3318.3908,269.4864,159.5562,517.4068,2832.6476,7097.487799999999,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.467544417617738,0.037969265688628594,0.02248065857894113,0.07289999145894975,0.39910566665574265,0.00180810530212415,0.0,0.0,0.0,0.0003530266172184638,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_116,9074.900390625,579.6959838867188,6829.10009765625,False,774,RSPagl5,RSPagl,5,5,6,4,1,10,0,21,837.1345,1512.8927,791.33,4548.7037,196.1151,7886.176,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.47619047619047616,0.0,0.10615214522222177,0.19184110270934862,0.10034394362996717,0.5767945960120595,0.02486821242640286,0.007167307045642009,0.0026439416357815723,0.001263695297789797,0.0021984285325069644,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_117,9129.6201171875,509.01800537109375,6759.27978515625,False,965,RSPagl2/3,RSPagl,2/3,2/3,0,0,0,0,3,3,0.0,0.0,0.0,0.0,4998.4143,4998.4143,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0006001903443658121,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_118,9800.7998046875,962.10400390625,7080.72021484375,False,965,RSPagl2/3,RSPagl,2/3,2/3,6,12,6,5,0,29,1358.9076,3246.6137,1083.5861,1559.4199,83.6047,7332.1320000000005,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.20689655172413793,0.41379310344827586,0.20689655172413793,0.1724137931034483,0.0,0.1853359432154249,0.44279258747660294,0.14778595093487132,0.21268300952574232,0.011402508847358448,0.004415311239704598,0.003696158862386369,0.005537169589015584,0.0032063205041823564,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_128,10006.0,1384.6400146484375,7608.7998046875,False,965,RSPagl2/3,RSPagl,2/3,2/3,10,19,2,1,0,32,1154.246,5806.709,980.0179,677.8147,2768.5139,11387.3015,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.3125,0.59375,0.0625,0.03125,0.0,0.1013625572309647,0.5099284496858189,0.08606234760711307,0.059523733520184745,0.24312291195591862,0.00866366441815696,0.0032720771783121905,0.002040779051076516,0.0014753294668882217,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_146,8982.0,488.93798828125,6976.18017578125,False,965,RSPagl2/3,RSPagl,2/3,2/3,1,7,5,5,0,18,141.2079,986.4521,554.3261,895.5456,1560.3492999999999,4137.880999999999,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.05555555555555555,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.0,0.03412565513604669,0.23839547343193293,0.13396376067847288,0.21642613695270602,0.37708897380084155,0.007081756757235254,0.00709613776482406,0.009019961354877572,0.005583188617084379,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221057_147,9085.7998046875,551.9600219726562,7009.60009765625,False,965,RSPagl2/3,RSPagl,2/3,2/3,6,6,0,0,0,12,1802.4794,626.6149,27.5695,1621.2597,2151.795,6229.7185,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.5,0.5,0.0,0.0,0.0,0.2893356096266629,0.10058478565283488,0.00442548086241778,0.26024606087738955,0.3454080629806949,0.003328748167662832,0.00957525906262363,0.0,0.0,0.0,RSPagl_to_VISp_FB,FB,RSPagl,VISp
221481_427,6281.97998046875,738.39599609375,4655.2998046875,False,965,RSPagl2/3,RSPagl,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1005.5886,1005.5886,data/axon_length_byNeuron_RSPagl_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.000994442458874335,RSPagl_to_VISp_FB,FB,RSPagl,VISp
