neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_037,8973.599609375,741.281982421875,6128.89990234375,False,434,RSPd2/3,RSPd,2/3,2/3,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1957.4560000000001,1957.4560000000001,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.001021734332725742,RSPd_to_VISp_FB,FB,RSPd,VISp
221057_043,9046.900390625,825.6580200195312,6309.7001953125,False,434,RSPd2/3,RSPd,2/3,2/3,27,6,2,4,0,39,5077.4879,1993.8454,1097.6169,1518.2338,430.9011,10118.0851,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.6923076923076923,0.15384615384615385,0.05128205128205128,0.10256410256410256,0.0,0.5018230079918976,0.19705758355402644,0.1084806946326237,0.15005149541586676,0.04258721840558546,0.005317590220155916,0.003009260397019749,0.0018221293786566152,0.0026346403300993564,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221057_050,7653.740234375,357.1260070800781,6705.33984375,False,434,RSPd2/3,RSPd,2/3,2/3,7,1,0,1,1,10,4728.1073,331.7111,117.2787,285.8376,985.8069,6448.741599999999,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.7,0.1,0.0,0.1,0.1,0.733182936032047,0.051438113135127014,0.018186292345781077,0.044324554731732475,0.15286810375531254,0.0014805078556487075,0.0030146715017977995,0.0,0.0034984900516936888,0.0010143974443676544,RSPd_to_VISp_FB,FB,RSPd,VISp
221057_126,9822.5,1226.280029296875,7216.43994140625,False,434,RSPd2/3,RSPd,2/3,2/3,5,15,5,1,0,26,325.2715,4406.1531,1444.2985,3267.9532,542.166,9985.842299999998,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.19230769230769232,0.5769230769230769,0.19230769230769232,0.038461538461538464,0.0,0.032573266253163244,0.44124000436097427,0.14463461935504432,0.3272586429689562,0.05429346706186219,0.015371774041070306,0.0034043301854399925,0.0034618882454007945,0.00030600193417702553,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221728_092,6333.740234375,551.8560180664062,6339.14013671875,False,434,RSPd2/3,RSPd,2/3,2/3,7,2,0,0,0,9,3714.0009,571.2646,150.6717,248.4914,1181.4847,5865.913299999999,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.6331496409945234,0.09738715367647865,0.025685974594953528,0.0423619285337886,0.20141530220025586,0.001884759909455057,0.0035010046132737793,0.0,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
230065_047,7558.5400390625,487.0140075683594,6718.97998046875,False,434,RSPd2/3,RSPd,2/3,2/3,1,0,0,1,0,2,43.9207,141.6532,0.0,274.5586,416.9769,877.1094,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.5,0.0,0.0,0.5,0.0,0.05007436928620306,0.16150003636946542,0.0,0.31302663042945383,0.4753989639148776,0.022768307426794202,0.0,,0.003642209714064684,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
230065_065,8665.83984375,541.7960205078125,6259.43994140625,False,610,RSPd5,RSPd,5,5,2,25,6,0,0,33,26.0805,5724.9355,623.2317,290.8664,1872.2156,8537.3297,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.06060606060606061,0.7575757575757576,0.18181818181818182,0.0,0.0,0.003054877920434536,0.6705768315355092,0.07300077681198139,0.03406995046706466,0.21929756326501013,0.0766856463641418,0.004366861425775016,0.009627238152359708,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
230065_067,8772.48046875,425.5419921875,6375.60009765625,False,434,RSPd2/3,RSPd,2/3,2/3,0,0,0,1,0,1,0.0,138.3094,121.9925,113.846,0.0,374.14790000000005,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.3696650442244898,0.32605421545864616,0.304280740316864,0.0,,0.0,0.0,0.00878379565377791,,RSPd_to_VISp_FB,FB,RSPd,VISp
230066_095,9482.7802734375,1045.77001953125,6845.39990234375,False,434,RSPd2/3,RSPd,2/3,2/3,2,0,0,0,0,2,161.3581,0.0,0.0,0.0,0.0,161.3581,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012394791460732371,,,,,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_030,9992.4599609375,1841.5400390625,7903.240234375,False,434,RSPd2/3,RSPd,2/3,2/3,0,0,0,1,1,2,0.0,0.0,0.0,308.447,559.6573,868.1043,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.35531099200867916,0.6446890079913209,,,,0.0032420480666046354,0.0017868077482416473,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_031,10033.0,1713.5699462890625,7817.35986328125,False,965,RSPagl2/3,RSPagl,2/3,2/3,2,5,1,2,1,11,398.4554,1409.1173,484.2063,2465.9848,1703.2589,6461.0227,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.06167063923177363,0.21809508578262693,0.07494267122757516,0.3816709698295906,0.26362063392843366,0.005019382344924927,0.0035483206401624623,0.002065235417217826,0.0008110350071906363,0.0005871098046221863,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_032,10035.2001953125,1678.9100341796875,7759.89990234375,False,434,RSPd2/3,RSPd,2/3,2/3,4,1,0,1,0,6,310.6839,379.5904,0.0,203.8773,1191.1941,2085.3457,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.14898436264068832,0.18202756502195297,0.0,0.09776666765611093,0.5712214046812478,0.012874822287218616,0.002634418573283202,,0.0049049109439844455,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_034,9901.3798828125,1828.030029296875,7660.97998046875,False,442,RSPd1,RSPd,1,1,0,3,1,0,0,4,66.9195,672.641,140.7535,350.252,208.87720000000002,1439.4432000000002,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.75,0.25,0.0,0.0,0.04648985107574929,0.46729249198579,0.09778329565209658,0.24332464108344112,0.1451097202029229,0.0,0.004460031428354798,0.007104619068087117,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_035,9876.7001953125,1787.27001953125,7573.080078125,False,442,RSPd1,RSPd,1,1,0,1,0,0,1,2,58.9371,61.1846,0.0,224.0601,1311.69,1655.8718000000001,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.5,0.0,0.0,0.5,0.035592791664185594,0.03695008272983452,0.0,0.13531246803043567,0.7921446575755442,0.0,0.01634398198239426,,0.0,0.0007623752563486799,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_036,9980.4599609375,1760.0400390625,7682.22021484375,False,442,RSPd1,RSPd,1,1,0,0,0,1,1,2,0.0,0.0,572.3544,668.8508,514.0778,1755.2830000000001,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.32607528244733186,0.38105012126249727,0.2928745962901709,,,0.0,0.0014951017476543347,0.0019452308580530028,RSPd_to_VISp_FB,FB,RSPd,VISp
233668_041,10106.5,1966.56005859375,8032.9599609375,False,442,RSPd1,RSPd,1,1,0,0,0,1,0,1,0.0,0.0,0.0,271.1432,2157.1696,2428.3128,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11165909103637718,0.8883409089636228,,,,0.003688088065642067,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
220191_078,6245.85986328125,1179.8199462890625,6039.52001953125,False,610,RSPd5,RSPd,5,5,0,0,0,2,11,13,0.0,0.0,0.0,129.4209,5576.0198,5705.4407,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,0.022683769195953607,0.9773162308040464,,,,0.015453454581137978,0.00197273331059549,RSPd_to_VISp_FB,FB,RSPd,VISp
221224_402,6330.60009765625,909.9940185546876,5065.85986328125,False,610,RSPd5,RSPd,5,5,0,0,0,6,10,16,0.0,0.0,0.0,2077.7275,5126.5391,7204.2666,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.28840236145619597,0.711597638543804,,,,0.0028877704126262947,0.001950633713102861,RSPd_to_VISp_FB,FB,RSPd,VISp
221224_404,6452.81982421875,904.9600219726562,4982.8798828125,False,610,RSPd5,RSPd,5,5,0,0,0,0,5,5,0.0,0.0,0.0,0.0,3054.8616,3054.8616,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.001636735359795023,RSPd_to_VISp_FB,FB,RSPd,VISp
221421_028,6574.89990234375,990.0159912109376,5223.89990234375,False,610,RSPd5,RSPd,5,5,1,0,0,0,1,2,592.5749,0.0,0.0,64.0843,485.2453,1141.9044999999999,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.5,0.0,0.0,0.0,0.5,0.5189356027583742,0.0,0.0,0.056120542479690734,0.424943854761935,0.0016875503839261503,,,0.0,0.0020608133659408964,RSPd_to_VISp_FB,FB,RSPd,VISp
221642_768,6351.0400390625,756.2039794921875,6319.0,False,610,RSPd5,RSPd,5,5,8,0,0,0,0,8,3229.1042,199.649,112.5054,256.3873,959.1831,4756.829,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.6788354595046406,0.041971027337749586,0.023651344204300807,0.05389878425312324,0.20164338470018578,0.0024774672802444714,0.0,0.0,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221754_025,6214.5,919.822021484375,5210.5400390625,False,610,RSPd5,RSPd,5,5,0,0,0,1,0,1,0.0,0.0,0.0,84.4663,1705.3933000000002,1789.8596000000002,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.047191578602031124,0.9528084213979688,,,,0.011839041132380606,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
230110_004,6592.56005859375,877.4359741210938,6238.97998046875,False,610,RSPd5,RSPd,5,5,2,0,0,0,0,2,828.693,0.0,0.0,0.0,378.2452,1206.9382,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.6866076490080436,0.0,0.0,0.0,0.31339235099195634,0.002413438993692477,,,,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
230110_007,6800.4599609375,726.0859985351562,6434.8798828125,False,610,RSPd5,RSPd,5,5,9,0,0,0,0,9,4833.9829,160.4246,49.3195,8.6793,0.0,5052.4063,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.9567684412079053,0.03175211779781052,0.009761586276226438,0.0017178547180578094,0.0,0.0018618187499173818,0.0,0.0,0.0,,RSPd_to_VISp_FB,FB,RSPd,VISp
231566_045,6859.7998046875,720.864013671875,6628.5,False,774,RSPagl5,RSPagl,5,5,1,0,0,5,4,10,277.2322,0.0,0.0,2294.161,4086.2725,6657.6657,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.1,0.0,0.0,0.5,0.4,0.041641051457419975,0.0,0.0,0.34458939564958935,0.6137695528929907,0.003607084602726523,,,0.0021794459935462244,0.0009788872376964581,RSPd_to_VISp_FB,FB,RSPd,VISp
233666_032,9071.7998046875,714.3920288085938,4751.3798828125,False,610,RSPd5,RSPd,5,5,5,3,5,8,4,25,1355.8451,2345.8377,2401.3981,2275.0839,3177.4134,11555.5782,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.2,0.12,0.2,0.32,0.16,0.11733251911185197,0.20300478776561784,0.20781288988204846,0.19688187476417235,0.2749679284763094,0.0036877368956085028,0.0012788608521382362,0.0020821204114386534,0.003516353836445328,0.0012588856080231802,RSPd_to_VISp_FB,FB,RSPd,VISp
233666_066,9163.3603515625,951.281982421875,4712.5400390625,False,610,RSPd5,RSPd,5,5,13,8,16,31,14,82,4663.7548,2809.1102,2809.9104,7872.2552,3138.3142,21293.3448,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.15853658536585366,0.0975609756097561,0.1951219512195122,0.3780487804878049,0.17073170731707318,0.2190240586345082,0.1319243278303557,0.13196190764731336,0.36970496058467994,0.1473847453031428,0.0027874535771048687,0.0028478768828649015,0.0056941317417096285,0.0039378804691189385,0.004460993739887485,RSPd_to_VISp_FB,FB,RSPd,VISp
233666_132,9536.419921875,1290.43994140625,4208.3798828125,False,610,RSPd5,RSPd,5,5,1,0,0,0,0,1,887.3166,43.3456,0.0,6.9287,70.3453,1007.9362,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.8803301240693607,0.04300430920131651,0.0,0.006874145407219227,0.06979142132210352,0.0011269934541966193,0.0,,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
233666_245,9478.2001953125,1216.550048828125,4244.4599609375,False,610,RSPd5,RSPd,5,5,17,0,1,6,14,38,2501.9516,1357.388,988.494,3046.0558,6606.8857,14500.775099999999,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.4473684210526316,0.0,0.02631578947368421,0.15789473684210525,0.3684210526315789,0.1725391630961851,0.09360796168751007,0.06816835604877426,0.21006158491486432,0.45562293425266626,0.006794695788679525,0.0,0.0010116399290233426,0.0019697603701153473,0.002119001392743937,RSPd_to_VISp_FB,FB,RSPd,VISp
233667_229,9285.51953125,1046.949951171875,4348.740234375,False,610,RSPd5,RSPd,5,5,0,0,0,2,0,2,0.0,0.0,0.0,358.9852,480.9605,839.9457,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4273909611061763,0.5726090388938238,,,,0.005571260319366926,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
233667_300,7748.64013671875,689.3480224609375,4764.7998046875,False,610,RSPd5,RSPd,5,5,6,0,0,4,2,12,3181.4393,1275.9638,476.8596,2241.9921,3015.3259,10191.580699999999,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666,0.31216348019498097,0.125197831186285,0.046789562290371706,0.21998472719742093,0.2958643991309415,0.0018859388579250908,0.0,0.0,0.0017841276068724773,0.000663278221435368,RSPd_to_VISp_FB,FB,RSPd,VISp
233282_090,7964.1201171875,953.3660278320312,6599.10009765625,False,274,RSPd6a,RSPd,6a,6,3,0,0,0,0,3,1566.5135,0.0,0.0,0.0,0.0,1566.5135,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0019150808467338456,,,,,RSPd_to_VISp_FB,FB,RSPd,VISp
212069_003,7165.10986328125,731.926025390625,6524.830078125,False,610,RSPd5,RSPd,5,5,25,0,0,0,0,25,2603.7521,13.3919,0.0,0.0,0.0,2617.1440000000002,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.9948830098764149,0.005116990123585098,0.0,0.0,0.0,0.009601528501887717,0.0,,,,RSPd_to_VISp_FB,FB,RSPd,VISp
212072_022,8018.4599609375,493.0960083007813,4814.2900390625,False,610,RSPd5,RSPd,5,5,67,0,5,7,0,79,18309.5978,1190.6252,3752.5884,2649.7012,1242.5904999999998,27145.103099999997,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.8481012658227848,0.0,0.06329113924050633,0.08860759493670886,0.0,0.6745083167505082,0.04386150959212971,0.13824181791374374,0.09761249350347836,0.045775862240140096,0.0036592830018363377,0.0,0.0013324136481368434,0.0026418073101978443,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221224_361,6766.759765625,811.666015625,5027.39990234375,False,610,RSPd5,RSPd,5,5,1,1,0,0,0,2,322.1512,88.6718,0.0,70.6807,62.0934,543.5971000000001,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.5,0.5,0.0,0.0,0.0,0.5926286214551181,0.1631204434313575,0.0,0.13002405641972703,0.11422687869379729,0.0031041324694739613,0.011277542578362004,,0.0,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221227_111,7422.10009765625,663.64599609375,6328.740234375,False,610,RSPd5,RSPd,5,5,15,0,0,0,0,15,3757.3819,497.3806,0.0,0.0,0.0,4254.7625,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.8831002670536839,0.11689973294631605,0.0,0.0,0.0,0.0039921414429552665,0.0,,,,RSPd_to_VISp_FB,FB,RSPd,VISp
221227_146,6626.240234375,846.18798828125,6138.81982421875,False,610,RSPd5,RSPd,5,5,9,1,0,0,0,10,1543.2569,564.2427,0.0,0.0,0.0,2107.4996,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.9,0.1,0.0,0.0,0.0,0.7322691306797876,0.26773086932021245,0.0,0.0,0.0,0.005831822297376412,0.0017722869963581274,,,,RSPd_to_VISp_FB,FB,RSPd,VISp
221367_025,8490.48046875,543.7080078125,6167.3798828125,False,610,RSPd5,RSPd,5,5,69,0,0,7,0,76,16875.3449,1160.3612,792.8988,2664.4652,755.5824,22248.652499999997,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.9078947368421053,0.0,0.0,0.09210526315789473,0.0,0.7584884028369809,0.05215422372208835,0.03563805942854293,0.11975849773373917,0.03396081627864879,0.004088805319765642,0.0,0.0,0.0026271688592517553,0.0,RSPd_to_VISp_FB,FB,RSPd,VISp
221367_029,8446.8203125,451.2160034179688,6430.6201171875,False,610,RSPd5,RSPd,5,5,39,0,0,5,4,48,11220.5481,548.24,1198.4724,5542.9583,1020.8146,19531.033400000004,data/axon_length_byNeuron_RSPd_to_VISp_FB.csv,0.8125,0.0,0.0,0.10416666666666667,0.08333333333333333,0.5744984338616715,0.028070199296264576,0.06136246738485429,0.28380261230826626,0.05226628714894317,0.0034757660367767595,0.0,0.0,0.0009020453933416745,0.003918439254297499,RSPd_to_VISp_FB,FB,RSPd,VISp
