neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
220191_031,7763.77001953125,870.0670166015625,5811.64990234375,False,430,RSPv2/3,RSPv,2/3,2/3,2,0,1,0,1,4,204.4375,212.1097,115.6686,232.153,427.5523,1191.9211,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.5,0.0,0.25,0.0,0.25,0.17151932288135516,0.17795615833967535,0.0970438395628704,0.19477212040293607,0.35870855881316305,0.009782940996637114,0.0,0.008645388636155361,0.0,0.002338895148032182,RSPv_to_VISp_FB,FB,RSPv,VISp
221057_035,8355.3203125,1015.3900146484376,5949.31982421875,False,430,RSPv2/3,RSPv,2/3,2/3,1,3,1,0,0,5,4.1778,802.7476,506.7503,769.8115,583.5564,2667.0436,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.2,0.6,0.2,0.0,0.0,0.0015664535817862147,0.30098780537371045,0.1900045053631669,0.2886385134461244,0.21880272223521208,0.23936042893388862,0.0037371647078110228,0.0019733584765514694,0.0,0.0,RSPv_to_VISp_FB,FB,RSPv,VISp
221057_045,8850.1201171875,989.9920043945312,6089.33984375,False,542,RSPv1,RSPv,1,1,1,1,2,7,2,13,110.7824,331.184,339.3048,5224.0953,4417.4603,10422.826799999999,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.010628824802116063,0.03177487320426355,0.03255400924440192,0.5012167428513732,0.4238255498978454,0.009026704602897211,0.0030194695395912843,0.005894405266297441,0.0013399449278806226,0.00045274883398499364,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_022,8594.5400390625,1210.6800537109375,6156.56005859375,False,430,RSPv2/3,RSPv,2/3,2/3,2,0,0,0,0,2,1655.0141,0.0,0.0,0.0,0.0,1655.0141,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0012084489189548293,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_033,8762.6201171875,977.5360107421876,6139.1201171875,False,430,RSPv2/3,RSPv,2/3,2/3,25,0,0,0,0,25,8297.4827,0.0,0.0,0.0,0.0,8297.4827,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0030129619914724256,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_037,8942.2998046875,1028.8499755859375,6401.5,False,430,RSPv2/3,RSPv,2/3,2/3,22,0,0,0,0,22,7075.8732,0.0,0.0,0.0,0.0,7075.8732,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0031091569023594147,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_039,8976.2197265625,1023.3699951171876,6436.16015625,False,430,RSPv2/3,RSPv,2/3,2/3,46,0,0,0,0,46,10003.4469,1171.8267,386.0012,1401.225,0.0,12962.499800000001,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.7717220485511599,0.0904012897265387,0.029778299398700855,0.10809836232360055,0.0,0.004598414972343183,0.0,0.0,0.0,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_040,8997.0400390625,1073.510009765625,6399.81982421875,False,430,RSPv2/3,RSPv,2/3,2/3,1,0,0,0,0,1,42.1423,0.0,0.0,0.0,0.0,42.1423,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023729127266428268,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_041,9016.9599609375,1063.969970703125,6539.16015625,False,430,RSPv2/3,RSPv,2/3,2/3,1,0,0,0,0,1,216.5185,146.9921,96.7501,148.8043,0.0,609.0649999999999,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.35549325605641435,0.24134057941270637,0.15885020482214543,0.24431595970873393,0.0,0.004618542988243499,0.0,0.0,0.0,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_045,8980.0,1311.739990234375,6942.97998046875,False,430,RSPv2/3,RSPv,2/3,2/3,2,0,0,0,0,2,119.3383,0.0,0.0,0.0,0.0,119.3383,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01675907902157145,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_048,9004.5595703125,1226.989990234375,6828.27978515625,False,430,RSPv2/3,RSPv,2/3,2/3,2,0,0,0,0,2,254.9216,197.1518,106.0961,48.9002,0.0,607.0697,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.41992146865508195,0.32475974340343455,0.17476757611193575,0.08055121182954773,0.0,0.007845549376749557,0.0,0.0,0.0,,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_052,9098.3603515625,1217.780029296875,6828.52001953125,False,430,RSPv2/3,RSPv,2/3,2/3,0,0,0,1,1,2,0.0,0.0,0.0,683.2349,1689.1927,2372.4276,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2879897789083216,0.7120102210916784,,,,0.0014636254676100415,0.0005919987695897573,RSPv_to_VISp_FB,FB,RSPv,VISp
221367_053,8756.8603515625,1297.0999755859375,6688.16015625,False,430,RSPv2/3,RSPv,2/3,2/3,23,1,0,2,0,26,4436.3517,866.7647,227.6542,2086.3278,332.6156,7949.714,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.8846153846153846,0.038461538461538464,0.0,0.07692307692307693,0.0,0.5580517362008244,0.10903092865982347,0.028636778631281577,0.2624406110710398,0.04183994543703081,0.0051844401786269555,0.0011537156508565705,0.0,0.0009586221302328426,0.0,RSPv_to_VISp_FB,FB,RSPv,VISp
221427_302,8939.080078125,1104.469970703125,6398.85986328125,False,430,RSPv2/3,RSPv,2/3,2/3,41,0,0,0,0,41,5276.6153,205.1787,9.4561,0.0,0.0,5491.250100000001,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.9609133082465138,0.037364661281772606,0.0017220304717135352,0.0,0.0,0.0077701324938355834,0.0,0.0,,,RSPv_to_VISp_FB,FB,RSPv,VISp
221530_020,6467.72021484375,1186.3800048828125,5496.14013671875,False,430,RSPv2/3,RSPv,2/3,2/3,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1589.3107,1589.3107,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.001258407182434498,RSPv_to_VISp_FB,FB,RSPv,VISp
221739_015,7774.740234375,1036.199951171875,5532.7998046875,False,430,RSPv2/3,RSPv,2/3,2/3,5,0,0,0,0,5,3234.8104,0.0,0.0,0.0,0.0,3234.8104,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015456856451308554,,,,,RSPv_to_VISp_FB,FB,RSPv,VISp
230066_112,9173.3203125,1275.1199951171875,6965.16015625,False,430,RSPv2/3,RSPv,2/3,2/3,57,0,0,0,0,57,13099.5042,1667.967,158.634,286.2247,46.829,15259.1589,data/axon_length_byNeuron_RSPv_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.8584682999794961,0.10930923591076833,0.010395985849521495,0.018757567299466288,0.0030689109607476466,0.0043513097236153415,0.0,0.0,0.0,0.0,RSPv_to_VISp_FB,FB,RSPv,VISp
