neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221475_127,8696.400390625,2165.820068359375,10070.7001953125,False,1127,TEa2/3,TEa,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,925.3991,925.3991,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0010806148395865092,TEa_to_VISp_FB,FB,TEa,VISp
221481_338,7481.5,3863.89990234375,10513.2001953125,False,1127,TEa2/3,TEa,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,570.4555,570.4555,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0017529851145269,TEa_to_VISp_FB,FB,TEa,VISp
221519_043,9150.0,2289.4599609375,1466.47998046875,False,1127,TEa2/3,TEa,2/3,2/3,7,1,0,0,0,8,1141.1543,876.1977,225.9102,159.3425,0.0,2402.6047,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.875,0.125,0.0,0.0,0.0,0.4749654822534893,0.3646865836897764,0.09402720306007893,0.06632073099665542,0.0,0.006134139791612756,0.0011412949383455353,0.0,0.0,,TEa_to_VISp_FB,FB,TEa,VISp
221519_058,8993.8798828125,3211.300048828125,850.7000122070312,False,1127,TEa2/3,TEa,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,315.3153,0.0,315.3153,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0031714287254693955,,TEa_to_VISp_FB,FB,TEa,VISp
221622_002,8957.5595703125,2536.340087890625,10191.099609375,False,1127,TEa2/3,TEa,2/3,2/3,1,1,7,1,0,10,143.8832,372.7634,1225.6545,570.6567,1334.1256,3647.0834000000004,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.1,0.1,0.7,0.1,0.0,0.03945157930855104,0.10220863060055055,0.33606429181191744,0.15646933108247538,0.36580616719650555,0.00695008173296118,0.0026826668068807187,0.0057112342833971555,0.0017523670536068357,0.0,TEa_to_VISp_FB,FB,TEa,VISp
221622_007,9172.580078125,2375.360107421875,9984.6103515625,False,1127,TEa2/3,TEa,2/3,2/3,4,0,2,4,1,11,563.5901,657.7787,642.957,1732.2081,32.5555,3629.0894000000003,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.36363636363636365,0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.15529793782429277,0.18125172116178784,0.17716758369193109,0.4773120496838683,0.008970707638119909,0.007097356749169299,0.0,0.003110627926906465,0.002309191372560837,0.030716775967194482,TEa_to_VISp_FB,FB,TEa,VISp
221622_011,9122.240234375,2233.280029296875,9817.4501953125,False,1127,TEa2/3,TEa,2/3,2/3,24,25,5,0,0,54,3330.6951,8464.1689,2508.4683,3927.0097,861.5816,19091.923600000002,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.4444444444444444,0.46296296296296297,0.09259259259259259,0.0,0.0,0.17445571068595725,0.44333766870929653,0.13138897643608838,0.20568957755519196,0.04512806661346581,0.007205703097830841,0.002953627260439002,0.0019932482304041875,0.0,0.0,TEa_to_VISp_FB,FB,TEa,VISp
221622_047,8574.6396484375,1976.949951171875,9808.73046875,False,1127,TEa2/3,TEa,2/3,2/3,8,13,2,3,2,28,1819.9608,3518.8147,365.0011,1113.8421,1737.6499,8555.2686,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.2857142857142857,0.4642857142857143,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.21272982592270687,0.41130382510725616,0.042663897191959586,0.1301937030942547,0.20310874868382273,0.004395699072199797,0.003694425853114687,0.005479435541427135,0.002693379968309691,0.001150979837768241,TEa_to_VISp_FB,FB,TEa,VISp
221644_085,8648.33984375,2053.0,1424.0,False,1127,TEa2/3,TEa,2/3,2/3,0,0,1,1,0,2,0.0,0.0,168.4356,351.3873,2096.3383999999996,2616.1612999999998,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.06438272747173503,0.13431408071054335,0.8013031918177216,,,0.005936987192731228,0.002845862670620139,0.0,TEa_to_VISp_FB,FB,TEa,VISp
221706_133,7362.240234375,4087.080078125,771.0,False,1127,TEa2/3,TEa,2/3,2/3,2,0,0,0,0,2,648.9965,576.3223,292.0243,368.8948,0.0,1886.2379,data/axon_length_byNeuron_TEa_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.3440692714317743,0.30554062136064597,0.15481838213514848,0.1955717250724312,0.0,0.0030816807178467064,0.0,0.0,0.0,,TEa_to_VISp_FB,FB,TEa,VISp
