neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_053,6937.06005859375,544.2219848632812,7487.0400390625,False,312782554,VISa2/3,VISa,2/3,2/3,3,0,0,2,0,5,573.7846,0.0,0.0,928.0461,387.9485,1889.7792,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.6,0.0,0.0,0.4,0.0,0.30362520658498093,0.0,0.0,0.49108705397963953,0.20528773943537956,0.005228442868630494,,,0.002155065357205854,0.0,VISa_to_VISp_FB,FB,VISa,VISp
221364_007,7085.81982421875,525.5700073242188,7242.240234375,False,312782554,VISa2/3,VISa,2/3,2/3,2,2,0,0,0,4,291.2703,1242.6588,710.6312,585.4593,0.0,2830.0196,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.5,0.5,0.0,0.0,0.0,0.10292165467687928,0.43909900836022475,0.25110469199577273,0.20687464496712318,0.0,0.006866474199394857,0.0016094522486783983,0.0,0.0,,VISa_to_VISp_FB,FB,VISa,VISp
221364_009,6961.580078125,435.8500061035156,7206.66015625,False,312782550,VISa1,VISa,1,1,7,0,0,0,0,7,1547.5688,361.8312,74.2582,540.0548,535.6018,3059.3148,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.5058547096885878,0.1182719738419858,0.02427282082903008,0.17652802516432764,0.1750724704760687,0.004523223781714906,0.0,0.0,0.0,0.0,VISa_to_VISp_FB,FB,VISa,VISp
221364_022,6988.5,580.0399780273438,7645.6201171875,False,312782554,VISa2/3,VISa,2/3,2/3,17,0,0,0,0,17,5910.2045,430.908,0.0,0.0,0.0,6341.1125,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.9320453627025226,0.06795463729747737,0.0,0.0,0.0,0.0028763810118583883,0.0,,,,VISa_to_VISp_FB,FB,VISa,VISp
221364_023,6913.43994140625,653.156005859375,7584.81982421875,False,312782554,VISa2/3,VISa,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1234.4393,1234.4393,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0008100843840600344,VISa_to_VISp_FB,FB,VISa,VISp
221364_029,7243.77978515625,570.1699829101562,7426.06005859375,False,312782554,VISa2/3,VISa,2/3,2/3,5,0,0,0,1,6,2314.5194,0.0,0.0,0.0,1069.2304,3383.7498,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.6840102066648073,0.0,0.0,0.0,0.3159897933351928,0.002160275692655676,,,,0.0009352521215259125,VISa_to_VISp_FB,FB,VISa,VISp
221364_034,7386.93994140625,595.1680297851562,7664.97998046875,False,312782554,VISa2/3,VISa,2/3,2/3,9,2,0,0,0,11,3065.489,1503.0854,368.149,1659.3625,2002.4355,8598.5214,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.35651350475210775,0.1748074267745615,0.042815384514830655,0.19298230739996763,0.2328813765585325,0.0029359100619835857,0.001330596385275248,0.0,0.0,0.0,VISa_to_VISp_FB,FB,VISa,VISp
221364_035,7419.7998046875,673.9219970703125,7692.5400390625,False,312782554,VISa2/3,VISa,2/3,2/3,0,1,0,0,0,1,0.0,14.7409,0.0,0.0,51.0487,65.7896,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.22406124980240041,0.0,0.0,0.7759387501975996,,0.0678384630517811,,,0.0,VISa_to_VISp_FB,FB,VISa,VISp
221364_037,7335.97998046875,585.4180297851562,7671.2001953125,False,312782554,VISa2/3,VISa,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,44.334,0.0,44.334,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.022556051788694905,,VISa_to_VISp_FB,FB,VISa,VISp
221364_039,7293.419921875,542.083984375,7731.02001953125,False,312782554,VISa2/3,VISa,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,2021.4312,2369.4075,4390.8387,data/axon_length_byNeuron_VISa_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46037473433036835,0.5396252656696315,,,,0.0,0.0004220464398800122,VISa_to_VISp_FB,FB,VISa,VISp
