neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
212074_008,8471.830078125,1813.780029296875,9834.98046875,False,905,VISal2/3,VISal,2/3,2/3,14,1,6,7,0,28,2976.7756,1406.5311,1498.3627,2884.0477,3841.4794,12607.1965,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.03571428571428571,0.21428571428571427,0.25,0.0,0.23611717323514392,0.11156573152484772,0.11884979344932078,0.2287620169956104,0.3047052847950772,0.004703075367857758,0.0007109689931491739,0.0040043709043210965,0.0024271443221968903,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221450_029,8427.400390625,1613.02001953125,1864.5400390625,False,905,VISal2/3,VISal,2/3,2/3,33,34,2,2,0,71,8384.5662,12459.2879,1299.3088,2051.3505,3025.7603,27220.273699999998,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4647887323943662,0.4788732394366197,0.028169014084507043,0.028169014084507043,0.0,0.30802652068851166,0.45772088985277176,0.04773312767975585,0.0753611268794847,0.11115833489947605,0.003935802904150247,0.0027288879005677364,0.0015392799617766,0.0009749674665543504,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221450_031,8349.5,1565.030029296875,1933.280029296875,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,56.7008,630.2678000000001,686.9686,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08253768803989003,0.9174623119601101,,,,0.017636435464755348,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221450_036,8339.9404296875,1398.2900390625,2118.47998046875,False,905,VISal2/3,VISal,2/3,2/3,8,14,0,3,0,25,3107.3252,4692.535,990.0195,1235.8532,0.0,10025.732899999999,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.32,0.56,0.0,0.12,0.0,0.3099349674476168,0.46804907399837076,0.09874784316266795,0.12326811539134462,0.0,0.0025745615553853197,0.0029834620306508105,0.0,0.0024274727775111153,,VISal_to_VISp_FB,FB,VISal,VISp
221450_037,8452.98046875,1424.780029296875,2097.9599609375,False,905,VISal2/3,VISal,2/3,2/3,22,4,3,3,0,32,4186.5891,3211.3264,518.9568,780.1624,0.0,8697.0347,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.6875,0.125,0.09375,0.09375,0.0,0.4813812114604993,0.36924382973888786,0.059670544950223094,0.08970441385038973,0.0,0.005254874427490388,0.0012455912298419743,0.005780827999556032,0.0038453532238928714,,VISal_to_VISp_FB,FB,VISal,VISp
221477_048,8440.66015625,1779.8199462890625,9648.8203125,False,905,VISal2/3,VISal,2/3,2/3,0,1,0,1,1,3,0.0,116.3355,0.0,118.8087,21.2772,256.4214,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.45368873268767734,0.0,0.4633337935133339,0.08297747379898869,,0.008595828444455906,,0.008416892028950742,0.046998665237907244,VISal_to_VISp_FB,FB,VISal,VISp
221478_364,7966.60009765625,1587.5699462890625,9516.4296875,False,905,VISal2/3,VISal,2/3,2/3,1,6,3,1,0,11,40.6936,2545.3623,569.3421,711.3408,288.5659,4155.3047,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.09090909090909091,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.0,0.009793168717567212,0.6125573173972055,0.13701572835320597,0.17118860140388742,0.06944518412813386,0.024573888768749875,0.002357228281412041,0.005269239706671964,0.0014057959279152835,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221478_812,8419.6396484375,1598.0400390625,1912.97998046875,False,905,VISal2/3,VISal,2/3,2/3,1,0,0,7,1,9,145.1542,0.0,0.0,938.9066,1205.5921,2289.6529,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.1111111111111111,0.0,0.0,0.7777777777777778,0.1111111111111111,0.06339572255689935,0.0,0.0,0.41006503649526965,0.526539240947831,0.006889225389275681,,,0.007455480662293778,0.0008294679435938573,VISal_to_VISp_FB,FB,VISal,VISp
221481_201,8276.4599609375,1346.4100341796875,9148.1201171875,False,905,VISal2/3,VISal,2/3,2/3,12,3,3,0,1,19,1402.2644,592.9656,241.1292,53.697,1204.6822,3494.7384,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.631578947368421,0.15789473684210525,0.15789473684210525,0.0,0.05263157894736842,0.4012501765511261,0.1696738159285399,0.06899778249496442,0.015365098572184974,0.3447131264531846,0.008557587285250913,0.005059315413912712,0.01244146291697563,0.0,0.0008300944431651767,VISal_to_VISp_FB,FB,VISal,VISp
221481_296,8360.98046875,1727.3599853515625,9710.8095703125,False,905,VISal2/3,VISal,2/3,2/3,0,2,0,7,1,10,74.1896,55.8494,128.0185,2124.3559,16.4042,2398.8176,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.2,0.0,0.7,0.1,0.03092757031630917,0.023282053625085963,0.05336733397320413,0.885584589674513,0.006838452410887764,0.0,0.03581059062407116,0.0,0.00329511641622762,0.06095999804928007,VISal_to_VISp_FB,FB,VISal,VISp
221481_299,8376.51953125,1556.47998046875,9485.5,False,905,VISal2/3,VISal,2/3,2/3,2,0,0,2,0,4,71.5861,0.0,0.0,884.1786,224.9356,1180.7003,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.0,0.5,0.0,0.0606302039560759,0.0,0.0,0.7488594692488856,0.19051032679503851,0.027938384686412587,,,0.0022619864357721394,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221481_576,8377.099609375,1480.949951171875,1980.0400390625,False,905,VISal2/3,VISal,2/3,2/3,0,1,0,0,2,3,0.0,43.8641,0.0,220.9201,1775.5221,2040.3063,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.021498781825062246,0.0,0.10827790905708617,0.8702233091178515,,0.022797686490774915,,0.0,0.0011264292345333242,VISal_to_VISp_FB,FB,VISal,VISp
221481_602,8463.400390625,1381.719970703125,2125.39990234375,False,905,VISal2/3,VISal,2/3,2/3,0,1,5,1,0,7,0.0,81.2037,1300.7139,830.3207,279.6423,2491.8806,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.03258731578069993,0.5219808284554244,0.3332104676283446,0.11222138813553105,,0.012314709797706262,0.0038440428752241364,0.0012043539321613926,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221714_039,8581.7001953125,1838.469970703125,9698.1904296875,False,312782582,VISli2/3,VISli,2/3,2/3,11,3,3,2,0,19,1237.5951,2647.6283,390.7047,1819.1245,1657.0447000000001,7752.0973,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5789473684210527,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.0,0.1596464868932953,0.341537031533389,0.050399870496981504,0.23466223779208756,0.2137543732842466,0.008888205843736776,0.0011330895654801695,0.00767843335388594,0.0010994299730447256,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221737_017,8277.6796875,1425.56005859375,2042.199951171875,False,905,VISal2/3,VISal,2/3,2/3,17,11,3,6,0,37,3618.6165,4767.6914,1603.3425,3111.37,224.0148,13325.035200000002,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4594594594594595,0.2972972972972973,0.08108108108108109,0.16216216216216217,0.0,0.27156524884827316,0.3577995351186764,0.12032557332381379,0.23349806985875726,0.016811572850479222,0.0046979280617329856,0.0023071963088886166,0.0018710911735951613,0.0019284109572310592,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221737_018,8200.2197265625,1458.530029296875,2009.8399658203125,False,905,VISal2/3,VISal,2/3,2/3,0,3,0,3,0,6,0.0,128.073,1046.9757,1526.396,147.2139,2848.6586,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.5,0.0,0.5,0.0,0.0,0.044959055465614586,0.36753288021246205,0.5358297410577736,0.05167832326414965,,0.02342414091963177,0.0,0.001965413955487305,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221737_048,8383.599609375,1342.6700439453125,2019.6400146484373,False,905,VISal2/3,VISal,2/3,2/3,7,8,0,9,0,24,3845.4958,2962.0662,200.8331,2643.6101,1466.8875,11118.8927,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.2916666666666667,0.3333333333333333,0.0,0.375,0.0,0.3458524066879429,0.2663993870540724,0.018062329174199154,0.23775839657127007,0.13192748051251543,0.0018203114407250164,0.0027008174226490953,0.0,0.0034044354725381023,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221751_093,8537.9599609375,1783.8800048828125,1575.3800048828125,False,905,VISal2/3,VISal,2/3,2/3,2,0,1,1,0,4,945.825,573.1431,80.519,1038.7023,169.0018,2807.1912,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.25,0.25,0.0,0.3369293121181058,0.20416959842279356,0.028683119268826433,0.370014803409187,0.060203166781087086,0.002114556075383924,0.0,0.012419428954656664,0.0009627397570988339,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221751_094,8509.259765625,1712.4300537109375,1638.3199462890625,False,905,VISal2/3,VISal,2/3,2/3,11,1,0,1,0,13,2726.2227,1708.0931,1558.6752,2397.334,0.0,8390.325,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.8461538461538461,0.07692307692307693,0.0,0.07692307692307693,0.0,0.3249245649006444,0.20357889593072973,0.1857705392818514,0.28572599988677433,0.0,0.004034886805102166,0.0005854481819521429,0.0,0.0004171300286067774,,VISal_to_VISp_FB,FB,VISal,VISp
221751_095,8447.51953125,1771.739990234375,1676.8599853515625,False,905,VISal2/3,VISal,2/3,2/3,12,18,2,13,1,46,1228.9249,4202.4326,612.3616,3028.5934,1896.9983,10969.3108,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.2608695652173913,0.391304347826087,0.043478260869565216,0.2826086956521739,0.021739130434782608,0.11203300940292439,0.3831081712079851,0.0558249840090227,0.2760969631747512,0.17293687220531667,0.00976463248486543,0.004283233477676715,0.0032660441151110718,0.004292421689884155,0.0005271486010293209,VISal_to_VISp_FB,FB,VISal,VISp
221751_100,8214.5595703125,1791.6300048828125,1643.800048828125,False,905,VISal2/3,VISal,2/3,2/3,1,1,0,2,0,4,67.217,109.356,0.0,581.9931,1289.9551999999999,2048.5213,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.25,0.25,0.0,0.5,0.0,0.0328124486672411,0.05338289623837448,0.0,0.2841040022381022,0.6297006528562822,0.014877188806403142,0.009144445663703867,,0.003436466858455882,0.0,VISal_to_VISp_FB,FB,VISal,VISp
221759_018,8197.0595703125,1533.050048828125,9621.849609375,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,3,1,4,0.0,0.0,0.0,924.6243,1396.9971999999998,2321.6214999999997,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.3982665994435355,0.6017334005564645,,,,0.003244561061179119,0.0007158210481738977,VISal_to_VISp_FB,FB,VISal,VISp
221759_019,8184.2001953125,1640.22998046875,9736.4296875,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,1280.9364,4044.4167,5325.3531,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24053548674547046,0.7594645132545296,,,,0.0,0.0002472544433910581,VISal_to_VISp_FB,FB,VISal,VISp
221759_022,8360.740234375,1704.989990234375,9777.66015625,False,905,VISal2/3,VISal,2/3,2/3,3,0,0,1,0,4,119.8244,0.0,0.0,162.2064,702.8322,984.8629999999999,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.75,0.0,0.0,0.25,0.0,0.12166605913715918,0.0,0.0,0.16469945566033042,0.7136344852025104,0.025036636945396765,,,0.006164984858797187,0.0,VISal_to_VISp_FB,FB,VISal,VISp
230110_021,8274.8603515625,1726.81005859375,9889.0595703125,False,696,AUDpo1,AUDpo,1,1,3,0,2,1,0,6,1993.6794,1083.0686,1046.1021,536.1403,1646.8748,6305.8652,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.3161627051590002,0.17175574891769016,0.16589350815808748,0.08502248034100063,0.2611655574242215,0.0015047554787394604,0.0,0.001911859272627404,0.0018651834230704164,0.0,VISal_to_VISp_FB,FB,VISal,VISp
230114_004,8409.6796875,1512.52001953125,9463.3896484375,False,905,VISal2/3,VISal,2/3,2/3,0,0,1,0,2,3,0.0,0.0,25.093,553.3145,1834.1411,2412.5486,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.010401033993677889,0.2293485403775907,0.7602504256287314,,,0.03985175148447774,0.0,0.0010904286480467615,VISal_to_VISp_FB,FB,VISal,VISp
230114_005,8249.98046875,1536.43994140625,9500.8896484375,False,905,VISal2/3,VISal,2/3,2/3,0,3,0,1,0,4,237.0216,225.879,0.0,320.09,424.9447,1207.9353,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.75,0.0,0.25,0.0,0.19622044326380725,0.18699594258069946,0.0,0.26498935828764997,0.35179425586784324,0.0,0.01328144714648108,,0.00312412134087288,0.0,VISal_to_VISp_FB,FB,VISal,VISp
230114_065,8167.81982421875,1563.5999755859375,9565.7001953125,False,905,VISal2/3,VISal,2/3,2/3,1,1,1,0,0,3,2.1611,449.9733,239.1773,502.7772,663.4581000000001,1857.547,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0011634160535372725,0.24224060010325446,0.12875975681907376,0.27066728325043726,0.3571689437736973,0.4627273147933923,0.0022223540818977483,0.004180998782075055,0.0,0.0,VISal_to_VISp_FB,FB,VISal,VISp
230114_066,8143.10009765625,1502.81005859375,9580.3798828125,False,905,VISal2/3,VISal,2/3,2/3,7,4,0,4,0,15,629.6153,1371.5201,530.6893,2105.0465,1884.8737999999998,6521.744999999999,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4666666666666667,0.26666666666666666,0.0,0.26666666666666666,0.0,0.09654092577983349,0.21029955939706324,0.08137228609827586,0.32277350617051115,0.2890137225543164,0.011117900089149675,0.0029164720225390794,0.0,0.0019001955538749382,0.0,VISal_to_VISp_FB,FB,VISal,VISp
