neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221478_836,8939.7001953125,1532.1199951171875,2065.199951171875,False,973,VISl2/3,VISl,2/3,2/3,14,14,3,9,1,41,2558.9129,4152.2072,831.8144,2768.7252,28.4404,10340.1001,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.34146341463414637,0.34146341463414637,0.07317073170731707,0.21951219512195122,0.024390243902439025,0.24747467386703537,0.4015635399893276,0.08044548814377532,0.2677658023832864,0.002750495616575317,0.005471073282720956,0.003371700718596124,0.003606573774149618,0.003250593450010857,0.03516124949016188,VISl_to_VISp_FB,FB,VISl,VISp
221481_220,8963.6201171875,1595.6600341796875,9335.2998046875,False,973,VISl2/3,VISl,2/3,2/3,1,2,0,0,2,5,38.7694,275.6149,0.0,389.2263,2058.1354,2761.746,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.2,0.4,0.0,0.0,0.4,0.014038003494890549,0.09979733835044931,0.0,0.14093486511793624,0.7452297930367239,0.025793538202809434,0.007256501734848153,,0.0,0.0009717533647203192,VISl_to_VISp_FB,FB,VISl,VISp
221481_226,8876.8798828125,1795.5,9577.5302734375,False,973,VISl2/3,VISl,2/3,2/3,0,0,1,0,0,1,0.0,0.0,37.4935,0.0,0.0,37.4935,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02667128969021297,,,VISl_to_VISp_FB,FB,VISl,VISp
221481_558,8742.4599609375,1680.969970703125,1834.6600341796875,False,973,VISl2/3,VISl,2/3,2/3,58,32,2,8,0,100,12941.0716,7536.7843,940.0608,1968.8237,149.9545,23536.6949,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.58,0.32,0.02,0.08,0.0,0.5498253537713148,0.3202142158030863,0.039940221173534435,0.08364911506755351,0.006371094184511012,0.004481854501137294,0.00424584262017423,0.002127521964536762,0.004063339952683423,0.0,VISl_to_VISp_FB,FB,VISl,VISp
221481_607,9077.759765625,1801.1199951171875,1838.3199462890625,False,973,VISl2/3,VISl,2/3,2/3,6,8,1,8,0,23,397.2733,2733.0999,921.7478,3030.4273,1820.5206,8903.0689,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.34782608695652173,0.0,0.04462206284846341,0.30698402210500697,0.10353146879499045,0.3403800795026982,0.20448236674884096,0.015102953055239302,0.00292707924799968,0.0010848954562191523,0.0026398917406796067,0.0,VISl_to_VISp_FB,FB,VISl,VISp
221701_063,9009.6201171875,1421.5999755859375,2110.02001953125,False,973,VISl2/3,VISl,2/3,2/3,12,8,3,2,0,25,1968.1911,3162.5543,2061.9506,454.9051,273.7459,7921.347,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.48,0.32,0.12,0.08,0.0,0.24846671910724275,0.3992445098036988,0.260303026745325,0.05742774555893083,0.03455799878480264,0.006096968937619929,0.0025296008356283403,0.0014549330134291285,0.004396521384350274,0.0,VISl_to_VISp_FB,FB,VISl,VISp
221701_064,8970.3203125,1479.1400146484375,2115.02001953125,False,973,VISl2/3,VISl,2/3,2/3,4,1,3,3,0,11,347.1431,1842.0371,1381.2842,965.9162,648.4399,5184.8205,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.0,0.06695373542825639,0.3552749993948682,0.266409261419947,0.18629694123451335,0.1250650625224152,0.011522625683759809,0.0005428772308657627,0.0021718919249203023,0.003105859493815302,0.0,VISl_to_VISp_FB,FB,VISl,VISp
221701_065,8685.1796875,1456.8699951171875,2171.080078125,False,973,VISl2/3,VISl,2/3,2/3,31,14,2,0,0,47,4155.4136,4013.5997,355.2015,1113.639,114.2136,9752.067399999998,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.6595744680851063,0.2978723404255319,0.0425531914893617,0.0,0.0,0.42610591473147535,0.41156398283301454,0.03642319986426674,0.11419517055429704,0.011711732016946481,0.007460147889971771,0.0034881405836262144,0.00563060685273007,0.0,0.0,VISl_to_VISp_FB,FB,VISl,VISp
221701_066,8724.7001953125,1441.5899658203125,2061.320068359375,False,973,VISl2/3,VISl,2/3,2/3,5,20,8,6,0,39,402.121,2673.6748,1670.6251,1205.107,0.0,5951.5279,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.1282051282051282,0.5128205128205128,0.20512820512820512,0.15384615384615385,0.0,0.06756601107423188,0.44924174849285337,0.28070524545470077,0.2024869949782139,0.0,0.012434068352560548,0.007480341289075246,0.004788626724212392,0.004978811010142668,,VISl_to_VISp_FB,FB,VISl,VISp
221751_096,8631.900390625,1643.27001953125,1750.52001953125,False,973,VISl2/3,VISl,2/3,2/3,53,8,1,7,0,69,13494.2459,3502.9442,1369.2902,2481.5259,2066.7889999999998,22914.7952,data/axon_length_byNeuron_VISl_to_VISp_FB.csv,0.7681159420289855,0.11594202898550725,0.014492753623188406,0.10144927536231885,0.0,0.5888879120333573,0.15286823074028608,0.059755724982434054,0.10829361023484077,0.0901945220090817,0.0039275999854130415,0.0022837931589090115,0.000730305380115917,0.0028208450292620357,0.0,VISl_to_VISp_FB,FB,VISl,VISp
