neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221701_056,8847.1396484375,445.4240112304688,3780.52001953125,False,593,VISp1,VISp,1,1,7,7,0,7,1,22,837.1358,3340.5468,0.0,3969.0718,681.7051,8828.459499999999,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.3181818181818182,0.3181818181818182,0.0,0.3181818181818182,0.045454545454545456,0.09482240927763219,0.3783838845270798,0.0,0.4495769392157262,0.07721676697956197,0.008361845234668019,0.0020954653292089786,,0.0017636365257993065,0.001466909958572996,VISp_to_ACAd_FF,FF,VISp,ACAd
231687_008,8127.0400390625,794.5700073242188,2787.300048828125,False,593,VISp1,VISp,1,1,9,7,0,5,0,21,1183.658,2027.8371,0.0,1812.2587,187.0352,5210.789000000001,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.42857142857142855,0.3333333333333333,0.0,0.23809523809523808,0.0,0.22715523503254492,0.38916123834605465,0.0,0.3477896917338238,0.035893834887576526,0.007603547646364069,0.003451953808321191,,0.002758987996581283,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
233795_072,8097.419921875,1000.989990234375,8864.48046875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,4,0,4,0.0,0.0,0.0,1241.5991,0.0,1241.5991,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0032216518198184907,,VISp_to_ACAd_FF,FF,VISp,ACAd
221090_098,8028.0,1036.030029296875,3150.840087890625,False,721,VISp4,VISp,4,4,64,3,0,0,0,67,14466.7064,956.6934,0.0,1018.8815,790.6887,17232.969999999998,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.9552238805970149,0.04477611940298507,0.0,0.0,0.0,0.8394784184037923,0.055515294229607555,0.0,0.059123964122261,0.045882323244339204,0.004423950983065503,0.0031358008741358516,,0.0,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221417_015,8679.2197265625,1314.199951171875,2751.1201171875,False,721,VISp4,VISp,4,4,1,4,0,0,0,5,461.8539,414.4866,0.0,608.3792,1323.8063,2808.526,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.2,0.8,0.0,0.0,0.0,0.16444708006975903,0.1475815427736827,0.0,0.21661868182811908,0.4713526953284392,0.0021651868697005697,0.009650492923052277,,0.0,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221418_139,8846.0,1040.280029296875,3727.43994140625,False,778,VISp5,VISp,5,5,0,0,0,1,0,1,0.0,0.0,0.0,2094.1232,1662.861,3756.9842,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5573947316573756,0.4426052683426244,,,,0.0004775268236367373,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
231686_050,8212.7802734375,1147.550048828125,2873.280029296875,False,721,VISp4,VISp,4,4,17,0,0,1,0,18,4799.3498,883.1611,0.0,1351.0434,727.573,7761.1273,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0,0.6183830794786731,0.11379288933967106,0.0,0.1740782424738736,0.09374578870778218,0.00354214647992526,0.0,,0.0007401686725977863,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
233379_030,8466.240234375,1106.199951171875,8567.900390625,False,721,VISp4,VISp,4,4,3,0,0,0,0,3,1611.7544,217.7587,0.0,565.0227,22.4235,2416.9593,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,1.0,0.0,0.0,0.0,0.0,0.6668521062808133,0.09009613856551081,0.0,0.2337741889158001,0.009277566237875831,0.0018613257702290126,0.0,,0.0,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
233379_097,8022.14013671875,876.8619995117188,8012.22021484375,False,721,VISp4,VISp,4,4,11,2,0,0,0,13,4283.8552,917.2126,0.0,221.0173,0.0,5422.0851,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0,0.7900752424560802,0.16916233941071857,0.0,0.040762418133201195,0.0,0.0025677805356259472,0.002180519543669592,,0.0,,VISp_to_ACAd_FF,FF,VISp,ACAd
233379_130,8703.6201171875,1250.3599853515625,8585.919921875,False,721,VISp4,VISp,4,4,28,2,0,0,0,30,7224.2872,1342.4614,0.0,1175.8109,735.0447,10477.6042,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.6894980056604925,0.12812675248793995,0.0,0.11222135113674174,0.07015389071482582,0.0038758149039257467,0.0014898007495783492,,0.0,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
233666_218,8389.080078125,961.4619750976562,3283.719970703125,False,721,VISp4,VISp,4,4,16,11,0,2,1,30,7156.979,5716.552,0.0,2590.1317,1537.2238,17000.8865,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.5333333333333333,0.36666666666666664,0.0,0.06666666666666667,0.03333333333333333,0.4209768120033035,0.3362502302453463,0.0,0.15235274348781752,0.09042021426353267,0.0022355801239601234,0.0019242368476662156,,0.0007721615082352763,0.0006505233655632966,VISp_to_ACAd_FF,FF,VISp,ACAd
221090_092,8206.51953125,1279.800048828125,2799.43994140625,False,778,VISp5,VISp,5,5,37,19,0,9,0,65,9394.2215,7186.7741,0.0,4532.2268,1366.9438,22480.1662,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.5692307692307692,0.2923076923076923,0.0,0.13846153846153847,0.0,0.4178893259250014,0.31969399318764824,0.0,0.20161002190455338,0.060806658982797024,0.003938591398978617,0.002643745265347912,,0.0019857788228956237,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221090_093,8213.01953125,1279.93994140625,2860.179931640625,False,778,VISp5,VISp,5,5,8,4,0,1,1,14,1063.0157,1328.5412,0.0,778.0745,1131.4215,4301.052899999999,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.5714285714285714,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.24715243562802963,0.30888743544632996,0.0,0.18090326208264032,0.2630568668430003,0.0075257590268892555,0.003010821192447777,,0.0012852239727686745,0.0008838439078628081,VISp_to_ACAd_FF,FF,VISp,ACAd
221091_113,8860.259765625,1001.8300170898438,7848.06005859375,False,778,VISp5,VISp,5,5,0,0,0,0,2,2,0.0,0.0,0.0,150.4243,1441.2221,1591.6463999999999,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09450861698930114,0.9054913830106989,,,,0.0,0.0013877111654060814,VISp_to_ACAd_FF,FF,VISp,ACAd
221091_125,8628.2197265625,908.5260009765624,7656.16015625,False,778,VISp5,VISp,5,5,2,1,0,0,0,3,1124.5896,441.1287,0.0,0.0,899.096,2464.8143,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.4562573334632147,0.1789703589434709,0.0,0.0,0.3647723075933144,0.0017784265477824087,0.002266912127911877,,,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221418_131,8277.7001953125,1028.6500244140625,3710.280029296875,False,778,VISp5,VISp,5,5,3,6,0,5,0,14,909.1812,1998.339,0.0,2846.5965,0.0,5754.1167000000005,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.21428571428571427,0.42857142857142855,0.0,0.35714285714285715,0.0,0.158005345981252,0.3472885768896553,0.0,0.4947060771290926,0.0,0.003299672276549493,0.0030024935709106414,,0.0017564835760881458,,VISp_to_ACAd_FF,FF,VISp,ACAd
221418_132,8247.5400390625,955.8759765625,3741.719970703125,False,778,VISp5,VISp,5,5,4,5,0,1,0,10,923.3425,1645.3885,0.0,418.9066,421.6334,3409.271,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.4,0.5,0.0,0.1,0.0,0.27083282613790455,0.48262179803248256,0.0,0.12287277837402777,0.12367259745558506,0.0043320869558154205,0.003038796004712565,,0.0023871669723036113,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221418_135,8415.98046875,946.3720092773438,3769.780029296875,False,778,VISp5,VISp,5,5,11,29,0,4,0,44,1750.0441,7175.8672,0.0,1781.7516,260.7164,10968.379299999999,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.25,0.6590909090909091,0.0,0.09090909090909091,0.0,0.15955357233132886,0.6542322255394651,0.0,0.16244438227988708,0.023769819849319036,0.0062855558897058645,0.004041323395728394,,0.0022449818481992665,0.0,VISp_to_ACAd_FF,FF,VISp,ACAd
221418_150,8338.7802734375,984.9739990234376,3439.340087890625,False,778,VISp5,VISp,5,5,14,3,0,0,0,17,2493.5545,346.4805,0.0,0.0,0.0,2840.0350000000003,data/axon_length_byNeuron_VISp_to_ACAd_FF.csv,0.8235294117647058,0.17647058823529413,0.0,0.0,0.0,0.8780013274484293,0.12199867255157065,0.0,0.0,0.0,0.005614475240063932,0.008658495932671536,,,,VISp_to_ACAd_FF,FF,VISp,ACAd
