neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_123,9917.740234375,983.5880126953124,7276.02001953125,False,593,VISp1,VISp,1,1,0,0,0,1,0,1,0.0,0.0,0.0,241.8096,269.0492,510.8588,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4733394041562952,0.5266605958437047,,,,0.0041354851089452195,0.0,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_139,10146.7001953125,1364.1700439453125,7861.89990234375,False,593,VISp1,VISp,1,1,1,0,0,2,0,3,15.8692,0.0,0.0,492.8789,47.9573,556.7053999999999,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.02850556146931573,0.0,0.0,0.8853495942378142,0.08614484429287016,0.06301514884178157,,,0.004057791883564097,0.0,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_153,9365.5400390625,682.7420043945312,7670.31982421875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,47.9645,47.9645,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.020848752723368325,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_154,9433.6396484375,721.1959838867188,7552.5,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,203.1086,486.3641,689.4727,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2945854128814672,0.7054145871185328,,,,0.004923474436828377,0.0,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_160,9226.1796875,558.114013671875,7285.52001953125,False,821,VISp2/3,VISp,2/3,2/3,2,4,0,4,2,12,157.2995,870.7649,0.0,1130.4983,416.286,2574.8487,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.061090773993827285,0.3381809968096378,0.0,0.4390542636544042,0.16167396554213068,0.012714598584229448,0.004593662422543674,,0.0035382627289222814,0.004804389290055395,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_164,9210.98046875,593.6259765625,7493.06005859375,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,1,2,0.0,0.0,0.0,647.8903,583.0587,1230.949,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5263339910914262,0.4736660089085738,,,,0.0015434711709682951,0.0017150931801549311,VISp_to_RSPd_FF,FF,VISp,RSPd
221057_167,9964.4404296875,1149.030029296875,7520.2998046875,False,821,VISp2/3,VISp,2/3,2/3,3,0,0,0,0,3,331.1641,329.1936,0.0,0.0,0.0,660.3577,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,1.0,0.0,0.0,0.0,0.0,0.5014919944145423,0.4985080055854577,0.0,0.0,0.0,0.009058952948100352,0.0,,,,VISp_to_RSPd_FF,FF,VISp,RSPd
221479_226,9409.6396484375,671.0700073242188,4165.89990234375,False,821,VISp2/3,VISp,2/3,2/3,1,2,0,0,0,3,79.7959,750.8512,0.0,8.2941,0.0,838.9411999999999,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.09511500925213831,0.8949986006170636,0.0,0.009886390130798204,0.0,0.012531972194060095,0.0026636436087469797,,0.0,,VISp_to_RSPd_FF,FF,VISp,RSPd
221481_257,9980.759765625,1760.1800537109375,8907.51953125,False,821,VISp2/3,VISp,2/3,2/3,2,3,0,3,0,8,232.0153,2109.2515,0.0,1083.3425,359.0845,3783.6938,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.25,0.375,0.0,0.375,0.0,0.061319787557862104,0.5574582964403726,0.0,0.28631875549760394,0.0949031605041613,0.00862012117304333,0.0014223054955750892,,0.002769207337476375,0.0,VISp_to_RSPd_FF,FF,VISp,RSPd
221701_034,9279.2998046875,710.4840087890625,3863.159912109375,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,7.1508,0.0,7.1508,data/axon_length_byNeuron_VISp_to_RSPd_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.13984449292386866,,VISp_to_RSPd_FF,FF,VISp,RSPd
