neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_135,10254.7001953125,1886.6400146484373,8457.1396484375,False,821,VISp2/3,VISp,2/3,2/3,0,5,0,0,0,5,43.9976,933.5529,0.0,141.5955,0.0,1119.146,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,1.0,0.0,0.0,0.0,0.03931354800892824,0.8341654261374298,0.0,0.12652102585364197,0.0,0.0,0.0053558828856939975,,0.0,,VISp_to_RSPv_FF,FF,VISp,RSPv
221057_154,9433.6396484375,721.1959838867188,7552.5,False,821,VISp2/3,VISp,2/3,2/3,1,0,0,0,0,1,96.6028,0.0,0.0,8.6411,0.0,105.2439,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.9178945288040448,0.0,0.0,0.0821054711959553,0.0,0.010351666825392224,,,0.0,,VISp_to_RSPv_FF,FF,VISp,RSPv
221701_050,8767.919921875,616.4039916992188,3368.93994140625,False,593,VISp1,VISp,1,1,2,0,0,0,0,2,1159.4483,888.5338,0.0,615.549,385.5778,3049.1089,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.38025808130368843,0.2914076961960919,0.0,0.20187832582824441,0.1264558966719752,0.0017249583271630137,0.0,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
221701_055,8923.5,460.45599365234375,3809.52001953125,False,593,VISp1,VISp,1,1,0,0,0,1,0,1,0.0,0.0,0.0,226.3213,328.2241,554.5454,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40812041719217224,0.5918795828078279,,,,0.0044184970658970235,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
230066_083,9951.759765625,1367.6500244140625,8700.98046875,False,593,VISp1,VISp,1,1,2,2,0,3,0,7,294.6913,723.8219,0.0,1074.6518,171.7965,2264.9615,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.0,0.130108745777798,0.31957359981615585,0.0,0.4744680207588518,0.07584963364719445,0.006786762961784077,0.002763110649180413,,0.002791601893748282,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
230066_125,8845.240234375,610.5900268554688,7921.60009765625,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,2,1,3,0.0,0.0,0.0,68.8737,302.0432,370.9169,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.18568498766165684,0.8143150123383432,,,,0.029038660620817527,0.0033107846824560194,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_124,8376.0,715.1640014648438,8021.06005859375,False,821,VISp2/3,VISp,2/3,2/3,1,0,0,0,0,1,123.7591,111.945,0.0,218.1852,287.419,741.3082999999999,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.1669468694738748,0.15101004534820398,0.0,0.29432450709104435,0.387718578086877,0.008080213899422345,0.0,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
233795_009,9858.599609375,1120.2099609375,8398.7197265625,False,593,VISp1,VISp,1,1,4,10,0,0,0,14,407.6065,1693.6239,0.0,179.6712,71.6859,2352.5875,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.17325880546419634,0.7198983672233232,0.0,0.0763717396271127,0.030471087685367708,0.009813386194773637,0.0059044986316029195,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
221090_098,8028.0,1036.030029296875,3150.840087890625,False,721,VISp4,VISp,4,4,6,5,0,0,3,14,745.9231,1596.0556,0.0,398.4413,887.5728999999999,3627.9928999999993,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.42857142857142855,0.35714285714285715,0.0,0.0,0.21428571428571427,0.20560213885754852,0.43992798332102584,0.0,0.10982416751697614,0.24464571030444962,0.00804372461450785,0.003132722945240755,,0.0,0.003380004053751529,VISp_to_RSPv_FF,FF,VISp,RSPv
221091_154,9074.580078125,844.3619995117188,7524.02001953125,False,778,VISp5,VISp,5,5,12,2,0,1,1,16,3408.7825,1433.7769,0.0,416.543,809.9296999999999,6069.032099999999,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.75,0.125,0.0,0.0625,0.0625,0.5616682271296605,0.23624473826724368,0.0,0.06863417314929016,0.13345286145380578,0.00352031847147772,0.00139491715900849,,0.002400712531479343,0.0012346750588353534,VISp_to_RSPv_FF,FF,VISp,RSPv
221417_015,8679.2197265625,1314.199951171875,2751.1201171875,False,721,VISp4,VISp,4,4,1,0,0,0,0,1,144.9333,395.2272,0.0,962.7249,467.49379999999996,1970.3792,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.07355604444058281,0.20058433422358496,0.0,0.48859879357232355,0.23726082776350865,0.006899725597912971,0.0,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
221417_016,8683.740234375,1282.9599609375,2803.300048828125,False,721,VISp4,VISp,4,4,22,7,0,5,13,47,4989.8822,3494.0755,0.0,2650.4754,3867.2168,15001.649899999999,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.46808510638297873,0.14893617021276595,0.0,0.10638297872340426,0.2765957446808511,0.3326222271058332,0.23291274781715846,0.0,0.17667892649594497,0.25778609858106344,0.004408921717630929,0.002003391168851389,,0.001886454030095884,0.0033615906923035706,VISp_to_RSPv_FF,FF,VISp,RSPv
221418_139,8846.0,1040.280029296875,3727.43994140625,False,778,VISp5,VISp,5,5,1,1,0,4,4,10,152.52710000000002,326.34720000000004,0.0,1230.2946000000002,1130.6147,2839.7836,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.1,0.1,0.0,0.4,0.4,0.05371081796514354,0.11491974247615207,0.0,0.43323533525582725,0.39813410430287716,0.006556211978068159,0.003064221173032892,,0.0032512538053893754,0.003537898454707868,VISp_to_RSPv_FF,FF,VISp,RSPv
221478_278,9205.7001953125,1217.030029296875,8378.099609375,False,721,VISp4,VISp,4,4,25,0,0,0,0,25,2565.4828,275.8776,0.0,76.4066,0.0,2917.767,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.8792623948382445,0.09455093569842965,0.0,0.026186669463325894,0.0,0.009744754476623268,0.0,,0.0,,VISp_to_RSPv_FF,FF,VISp,RSPv
221480_100,8474.16015625,1239.2099609375,2778.97998046875,False,721,VISp4,VISp,4,4,13,0,0,1,1,15,6369.8409,15.8406,0.0,215.6929,452.1871,7053.561500000001,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.8666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.9030673227985606,0.002245759110486241,0.0,0.030579289625531723,0.06410762846542133,0.0020408673001550163,0.0,,0.004636221220077248,0.0022114739673024728,VISp_to_RSPv_FF,FF,VISp,RSPv
221702_004,8801.5595703125,1305.280029296875,2516.639892578125,False,721,VISp4,VISp,4,4,2,9,0,5,1,17,328.3012,4094.6258,0.0,3544.1724,1635.2477,9602.347099999999,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.11764705882352941,0.5294117647058824,0.0,0.29411764705882354,0.058823529411764705,0.0341896826454024,0.4264192657647212,0.0,0.3690943852675353,0.17029666632234114,0.006091966767102892,0.0021980030507305457,,0.0014107665868624223,0.0006115281495274386,VISp_to_RSPv_FF,FF,VISp,RSPv
231685_255,8799.6796875,1214.510009765625,2867.56005859375,False,721,VISp4,VISp,4,4,1,0,0,0,0,1,42.7927,9.6642,0.0,0.0,0.0,52.456900000000005,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.8157687549207063,0.18423124507929364,0.0,0.0,0.0,0.023368471725317634,0.0,,,,VISp_to_RSPv_FF,FF,VISp,RSPv
231685_273,8934.400390625,1359.6500244140625,2672.02001953125,False,721,VISp4,VISp,4,4,2,0,0,0,0,2,405.7086,0.0,0.0,0.0,0.0,405.7086,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004929646549272064,,,,,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_030,8466.240234375,1106.199951171875,8567.900390625,False,721,VISp4,VISp,4,4,0,0,0,2,0,2,0.0,0.0,0.0,507.678,616.8891,1124.5671,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4514430486184417,0.5485569513815582,,,,0.0039395049618065,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_097,8022.14013671875,876.8619995117188,8012.22021484375,False,721,VISp4,VISp,4,4,1,1,0,0,0,2,226.8718,1.7362,0.0,0.0,0.0,228.608,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.5,0.5,0.0,0.0,0.0,0.9924053401455767,0.007594659854423292,0.0,0.0,0.0,0.004407775668901996,0.5759705103098721,,,,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_107,8328.4599609375,893.9860229492188,8040.259765625,False,721,VISp4,VISp,4,4,0,0,0,1,1,2,0.0,40.9582,0.0,829.39,1435.5279,2305.8761,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.017762532861154163,0.0,0.3596854141469266,0.6225520529919193,,0.0,,0.0012057053979430666,0.0006966078471898735,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_109,8430.900390625,1005.280029296875,8309.98046875,False,721,VISp4,VISp,4,4,14,1,0,13,0,28,1266.8035,568.4841,0.0,2487.7769000000003,828.1003,5151.1648000000005,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.5,0.03571428571428571,0.0,0.4642857142857143,0.0,0.24592563996399414,0.11036030142153479,0.0,0.48295424366931533,0.16075981494515568,0.011051437732844912,0.0017590641497273187,,0.005225548963011916,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
233379_130,8703.6201171875,1250.3599853515625,8585.919921875,False,721,VISp4,VISp,4,4,0,1,0,0,0,1,292.9318,131.8227,0.0,396.5868,0.0,821.3413,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,1.0,0.0,0.0,0.0,0.35665051787849944,0.1604968604403553,0.0,0.4828526216811452,0.0,0.0,0.007585946881682746,,0.0,,VISp_to_RSPv_FF,FF,VISp,RSPv
233380_093,9082.4404296875,1015.280029296875,8024.18017578125,False,721,VISp4,VISp,4,4,0,0,0,0,1,1,0.0,0.0,0.0,0.0,82.1791,82.1791,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.012168544070207631,VISp_to_RSPv_FF,FF,VISp,RSPv
233666_139,9551.740234375,990.9019775390624,3717.60009765625,False,721,VISp4,VISp,4,4,0,1,0,1,6,8,0.0,14.97,0.0,310.0295,2416.9222999999997,2741.9217999999996,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.125,0.0,0.125,0.75,0.0,0.00545967430580989,0.0,0.11307014663948477,0.8814701790547054,,0.0668002672010688,,0.0032254995089177,0.0024824960239723057,VISp_to_RSPv_FF,FF,VISp,RSPv
221090_093,8213.01953125,1279.93994140625,2860.179931640625,False,778,VISp5,VISp,5,5,0,0,0,2,13,15,0.0,0.0,0.0,113.9739,3535.9646000000002,3649.9385,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,0.13333333333333333,0.8666666666666667,0.0,0.0,0.0,0.03122625216835845,0.9687737478316416,,,,0.017547877189426703,0.003676507394898693,VISp_to_RSPv_FF,FF,VISp,RSPv
221091_113,8860.259765625,1001.8300170898438,7848.06005859375,False,778,VISp5,VISp,5,5,1,1,0,0,0,2,217.6348,21.8003,0.0,0.0,0.0,239.4351,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.5,0.5,0.0,0.0,0.0,0.9089511103426356,0.09104888965736435,0.0,0.0,0.0,0.0045948533966075275,0.045870928381719515,,,,VISp_to_RSPv_FF,FF,VISp,RSPv
221091_125,8628.2197265625,908.5260009765624,7656.16015625,False,778,VISp5,VISp,5,5,0,0,0,1,1,2,0.0,16.1211,0.0,203.2952,1825.6649,2045.0812,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.007882865482309454,0.0,0.09940690863521702,0.8927102258824735,,0.0,,0.004918955292599137,0.0005477456459835537,VISp_to_RSPv_FF,FF,VISp,RSPv
221091_141,8630.16015625,829.9760131835938,7495.27978515625,False,778,VISp5,VISp,5,5,2,0,0,0,0,2,54.1671,106.4468,0.0,453.8618,210.7755,825.2511999999999,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,0.06563710540499669,0.12898714960971885,0.0,0.5499680582106394,0.2554076867746451,0.036922781540824595,0.0,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
221418_001,8326.66015625,1144.75,3230.340087890625,False,778,VISp5,VISp,5,5,4,0,0,0,0,4,592.1933,0.0,0.0,0.0,0.0,592.1933,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006754551258854161,,,,,VISp_to_RSPv_FF,FF,VISp,RSPv
221418_127,8440.48046875,991.8839721679688,3555.300048828125,False,778,VISp5,VISp,5,5,0,1,0,0,0,1,270.3842,550.7772,0.0,677.5745,765.9341999999999,2264.6701,data/axon_length_byNeuron_VISp_to_RSPv_FF.csv,0.0,1.0,0.0,0.0,0.0,0.11939231237256148,0.2432041647037244,0.0,0.29919346751652703,0.3382100554071871,0.0,0.0018156161874529303,,0.0,0.0,VISp_to_RSPv_FF,FF,VISp,RSPv
