neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_155,9513.8603515625,732.5180053710938,7577.47998046875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,317.7921,253.4344,571.2265,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.556332908224671,0.4436670917753291,,,,0.003146711324793788,0.0,VISp_to_TEa_FF,FF,VISp,TEa
221364_083,7840.7998046875,853.7559814453125,8439.7802734375,False,821,VISp2/3,VISp,2/3,2/3,3,8,0,0,0,11,93.2323,1751.3087,16.2559,282.8419,0.0,2143.6388,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.043492541747238385,0.8169793810412462,0.007583320473579784,0.13194475673793551,0.0,0.03217768949173194,0.004568012481180502,0.0,0.0,,VISp_to_TEa_FF,FF,VISp,TEa
221364_087,7904.97998046875,705.9580078125,8335.8798828125,False,821,VISp2/3,VISp,2/3,2/3,1,2,4,0,0,7,75.7905,901.9952,299.3093,16.988,0.0,1294.0829999999999,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.0,0.05856695436073266,0.6970149519003032,0.23129065137243904,0.013127442366525178,0.0,0.013194265772095448,0.0022173066996365393,0.013364101950724551,0.0,,VISp_to_TEa_FF,FF,VISp,TEa
221701_055,8923.5,460.45599365234375,3809.52001953125,False,593,VISp1,VISp,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1288.8391,1288.8391,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0007758920411399685,VISp_to_TEa_FF,FF,VISp,TEa
230011_175,8202.580078125,898.5,2579.639892578125,False,593,VISp1,VISp,1,1,0,0,0,1,1,2,0.0,0.0,0.0,212.9695,440.5462,653.5157,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.32588275997041843,0.6741172400295815,,,,0.004695508042231399,0.0022699094896290106,VISp_to_TEa_FF,FF,VISp,TEa
230066_079,10189.2998046875,1735.719970703125,8774.4599609375,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,222.6285,0.0,222.6285,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0044917878887923155,,VISp_to_TEa_FF,FF,VISp,TEa
231685_259,8784.1201171875,1038.530029296875,2777.260009765625,False,821,VISp2/3,VISp,2/3,2/3,4,6,0,0,0,10,246.3595,1617.155,427.608,178.8102,0.0,2469.9327,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.4,0.6,0.0,0.0,0.0,0.09974340596405724,0.6547364630623337,0.17312536491378896,0.07239476605982018,0.0,0.01623643496597452,0.003710219490401353,0.0,0.0,,VISp_to_TEa_FF,FF,VISp,TEa
231685_281,9262.2998046875,1108.8199462890625,2966.3798828125,False,821,VISp2/3,VISp,2/3,2/3,0,1,1,0,0,2,0.0,240.3171,68.5959,0.0,0.0,308.913,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,0.5,0.5,0.0,0.0,0.0,0.777944275572734,0.22205572442726593,0.0,0.0,,0.004161168722492074,0.014578130762917318,,,VISp_to_TEa_FF,FF,VISp,TEa
233380_037,9248.5,734.7039794921875,8065.02001953125,False,821,VISp2/3,VISp,2/3,2/3,2,0,0,1,0,3,94.9847,97.2487,0.0,82.692,28.0288,302.9542,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.3135282494845755,0.3210013262730802,0.0,0.27295214920275074,0.09251827503959344,0.021056022706814885,0.0,,0.012093068253277222,0.0,VISp_to_TEa_FF,FF,VISp,TEa
233666_171,9369.33984375,1054.8199462890625,3287.56005859375,False,721,VISp4,VISp,4,4,0,6,0,0,0,6,0.0,1337.6119,0.0,0.0,34.2038,1371.8157,data/axon_length_byNeuron_VISp_to_TEa_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.9750667673507455,0.0,0.0,0.02493323264925456,,0.0044856060266808325,,,0.0,VISp_to_TEa_FF,FF,VISp,TEa
