neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_071,8066.39990234375,719.8900146484375,7946.580078125,False,821,VISp2/3,VISp,2/3,2/3,0,1,2,2,0,5,0.0,23.2236,838.5945,412.7595,0.0,1274.5776,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,0.2,0.4,0.4,0.0,0.0,0.018220624621050927,0.6579391478400374,0.3238402275389117,0.0,,0.04305964622194664,0.00238494290148576,0.004845436628351377,,VISp_to_VISa_FF,FF,VISp,VISa
221057_090,8548.9599609375,650.72802734375,7675.56005859375,False,821,VISp2/3,VISp,2/3,2/3,0,1,1,8,0,10,0.0,763.8537,304.4328,1506.4666,0.0,2574.7531,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,0.1,0.1,0.8,0.0,0.0,0.2966706594119646,0.11823766713787043,0.585091673450165,0.0,,0.0013091512157367307,0.0032847971703443258,0.005310439673869969,,VISp_to_VISa_FF,FF,VISp,VISa
221057_098,8167.419921875,680.760009765625,7893.39990234375,False,821,VISp2/3,VISp,2/3,2/3,3,17,5,12,0,37,566.2229,4447.2653,586.1129,3219.4951,36.9946,8856.0908,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.08108108108108109,0.4594594594594595,0.13513513513513514,0.32432432432432434,0.0,0.0639359862931848,0.502170246492956,0.0661818982253434,0.3635345631280113,0.004177305860504501,0.0052982668132991444,0.003822573841052388,0.008530779650132252,0.00372729251863126,0.0,VISp_to_VISa_FF,FF,VISp,VISa
221057_107,8877.919921875,455.447998046875,7493.2998046875,False,593,VISp1,VISp,1,1,9,13,1,2,0,25,1041.9147,3618.1484,234.4497,698.0988,164.0266,5756.6382,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.36,0.52,0.04,0.08,0.0,0.18099360491336766,0.6285175955647169,0.04072684296887027,0.12126848618000692,0.028493470373038208,0.008637943202068269,0.0035929980097002103,0.004265307227946975,0.002864923990701603,0.0,VISp_to_VISa_FF,FF,VISp,VISa
221057_155,9513.8603515625,732.5180053710938,7577.47998046875,False,821,VISp2/3,VISp,2/3,2/3,1,7,0,5,0,13,106.4666,1293.6812,78.1533,641.1272,543.6645,2663.0928,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.07692307692307693,0.5384615384615384,0.0,0.38461538461538464,0.0,0.039978554258417134,0.4857814943587396,0.02934681810562516,0.24074534691393407,0.20414778636328407,0.009392617027311851,0.005410915765027736,0.0,0.007798764426154435,0.0,VISp_to_VISa_FF,FF,VISp,VISa
221057_156,9406.3203125,672.4719848632812,7452.33984375,False,821,VISp2/3,VISp,2/3,2/3,2,5,1,1,0,9,250.4511,986.9364,30.4241,185.7832,0.0,1453.5948,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.172297740745908,0.6789625279341945,0.02093024823699149,0.1278094830829059,0.0,0.007985590799960552,0.005066182582788516,0.03286867976373993,0.005382618019282691,,VISp_to_VISa_FF,FF,VISp,VISa
221057_160,9226.1796875,558.114013671875,7285.52001953125,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,43.0699,0.0,0.0,0.0,43.0699,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.02321807108909006,,,,VISp_to_VISa_FF,FF,VISp,VISa
221364_052,7840.56005859375,755.1640014648438,8106.85986328125,False,821,VISp2/3,VISp,2/3,2/3,0,3,0,5,1,9,0.0,186.3545,76.8448,1007.4289,360.1765,1630.8047000000001,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,0.0,0.11427150044392194,0.047120786443649566,0.6177495686638627,0.22085814444856575,,0.016098350187411625,0.0,0.004963129407941345,0.0027764165624353616,VISp_to_VISa_FF,FF,VISp,VISa
221364_080,8055.919921875,817.3759765625,8341.8203125,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,4,0,4,0.0,0.0,0.0,463.1429,0.0,463.1429,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.00863664324768878,,VISp_to_VISa_FF,FF,VISp,VISa
221364_081,8021.2001953125,829.5040283203125,8383.51953125,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,1,0,2,0.0,26.2757,0.0,11.9916,0.0,38.2673,data/axon_length_byNeuron_VISp_to_VISa_FF.csv,0.0,0.5,0.0,0.5,0.0,0.0,0.6866358483613948,0.0,0.3133641516386053,0.0,,0.038057977522958475,,0.08339170752860335,,VISp_to_VISa_FF,FF,VISp,VISa
