neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_071,8066.39990234375,719.8900146484375,7946.580078125,False,821,VISp2/3,VISp,2/3,2/3,3,1,0,0,0,4,758.7197,379.5832,0.0,0.0,0.0,1138.3029,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.75,0.25,0.0,0.0,0.0,0.6665358578986315,0.33346414210136865,0.0,0.0,0.0,0.0039540293997902,0.0026344685433918047,,,,VISp_to_VISal_FF,FF,VISp,VISal
221057_088,8277.1396484375,645.4639892578125,7849.919921875,False,821,VISp2/3,VISp,2/3,2/3,2,6,0,2,0,10,316.7365,751.6677,165.1875,314.0096,0.0,1547.6012999999998,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.2,0.6,0.0,0.2,0.0,0.20466285470295226,0.48569854522608635,0.1067377624973564,0.20290083757360505,0.0,0.006314396982981122,0.007982250667415935,0.0,0.006369232023479538,,VISp_to_VISal_FF,FF,VISp,VISal
221057_101,8701.1201171875,634.3079833984375,7614.8798828125,False,821,VISp2/3,VISp,2/3,2/3,0,3,0,3,0,6,0.0,358.1856,251.5395,734.5256,0.0,1344.2507,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.0,0.5,0.0,0.5,0.0,0.0,0.26645743982130715,0.18712246160630602,0.5464200985723868,0.0,,0.008375546085604781,0.0,0.004084268812414435,,VISp_to_VISal_FF,FF,VISp,VISal
221057_102,8722.2802734375,587.68798828125,7563.81982421875,False,821,VISp2/3,VISp,2/3,2/3,1,5,0,2,0,8,299.8808,1085.6252,125.0972,672.061,0.0,2182.6641999999997,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.125,0.625,0.0,0.25,0.0,0.13739209173816114,0.4973853513518021,0.05731399268838515,0.30790856422165175,0.0,0.003334658304232882,0.004605641062864053,0.0,0.0029759203405643237,,VISp_to_VISal_FF,FF,VISp,VISal
221057_103,8728.5,558.0980224609375,7577.2998046875,False,821,VISp2/3,VISp,2/3,2/3,0,4,0,1,0,5,36.7242,908.5733,324.3342,431.9136,0.0,1701.5452999999998,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.0,0.8,0.0,0.2,0.0,0.02158285177597094,0.5339695040737382,0.19061155762353202,0.253836086526759,0.0,0.0,0.004402506655214279,0.0,0.0023152778703888926,,VISp_to_VISal_FF,FF,VISp,VISal
221057_150,9064.9599609375,563.1820068359375,7771.9599609375,False,821,VISp2/3,VISp,2/3,2/3,4,1,7,4,0,16,742.5082,428.5717,2761.4672,1444.0965,314.0859,5690.7294999999995,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.25,0.0625,0.4375,0.25,0.0,0.13047680442375623,0.07531050280987703,0.4852571537620968,0.2537629841657384,0.055192554838531686,0.005387145892799568,0.0023333318555564912,0.002534884354230244,0.00276989799504396,0.0,VISp_to_VISal_FF,FF,VISp,VISal
221057_164,9210.98046875,593.6259765625,7493.06005859375,False,821,VISp2/3,VISp,2/3,2/3,6,16,5,5,1,33,641.0677,3237.6833,1490.1574,1815.6227,1280.9054,8465.4365,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.18181818181818182,0.48484848484848486,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.07572766035159557,0.3824591088717044,0.1760284186172798,0.21447478815770457,0.1513100240017157,0.009359385911971545,0.004941805148144044,0.0033553502468933816,0.0027538761219497864,0.0007806977783058764,VISp_to_VISal_FF,FF,VISp,VISal
221364_080,8055.919921875,817.3759765625,8341.8203125,False,821,VISp2/3,VISp,2/3,2/3,1,2,0,0,0,3,112.8637,542.7039,0.0,0.0,0.0,655.5676,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.1721618029933145,0.8278381970066855,0.0,0.0,0.0,0.008860244702238187,0.003685250833834067,,,,VISp_to_VISal_FF,FF,VISp,VISal
221364_081,8021.2001953125,829.5040283203125,8383.51953125,False,821,VISp2/3,VISp,2/3,2/3,0,3,0,0,0,3,0.0,665.8704,137.1474,0.0,0.0,803.0178000000001,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.8292100125302327,0.17078998746976715,0.0,0.0,,0.0045053812273379325,0.0,,,VISp_to_VISal_FF,FF,VISp,VISal
221364_082,7936.2998046875,890.5679931640625,8422.8203125,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,19.1763,0.0,0.0,0.0,19.1763,data/axon_length_byNeuron_VISp_to_VISal_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.05214770315441456,,,,VISp_to_VISal_FF,FF,VISp,VISal
