neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_071,8066.39990234375,719.8900146484375,7946.580078125,False,821,VISp2/3,VISp,2/3,2/3,1,2,1,1,0,5,44.873,301.5057,17.8227,183.0873,0.0,547.2887,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.2,0.4,0.2,0.2,0.0,0.08199146081400914,0.5509079577195729,0.03256544489224792,0.3345351365741701,0.0,0.022285115771176433,0.0066333737637464234,0.05610822153770192,0.005461875291186227,,VISp_to_VISam_FF,FF,VISp,VISam
221057_088,8277.1396484375,645.4639892578125,7849.919921875,False,821,VISp2/3,VISp,2/3,2/3,1,5,2,5,0,13,45.4115,1003.2688,324.552,782.9976,0.0,2156.2299000000003,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.0,0.021060602118540325,0.4652884184566775,0.15051827265728945,0.3631327067674926,0.0,0.02202085374849983,0.0049837092511996785,0.006162340703492814,0.0063857156139431335,,VISp_to_VISam_FF,FF,VISp,VISam
221057_090,8548.9599609375,650.72802734375,7675.56005859375,False,821,VISp2/3,VISp,2/3,2/3,2,15,1,4,0,22,378.1998,2785.6846,409.0149,672.7837,0.0,4245.683,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.09090909090909091,0.6818181818181818,0.045454545454545456,0.18181818181818182,0.0,0.08907867120555162,0.6561216652303057,0.09633665537441208,0.15846300818973058,0.0,0.005288210094241193,0.005384672765897475,0.002444898706624135,0.005945447251471759,,VISp_to_VISam_FF,FF,VISp,VISam
221057_098,8167.419921875,680.760009765625,7893.39990234375,False,821,VISp2/3,VISp,2/3,2/3,9,5,0,6,0,20,559.8556,1612.8947,711.8248,1065.4725,337.8137,4287.8613,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.45,0.25,0.0,0.3,0.0,0.13056756290134666,0.3761536549701363,0.16600928766049408,0.24848576608576406,0.07878372838225901,0.016075573772951456,0.00310001638668662,0.0,0.005631304421277883,0.0,VISp_to_VISam_FF,FF,VISp,VISam
221057_102,8722.2802734375,587.68798828125,7563.81982421875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,623.7709,192.174,815.9449,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7644767434663787,0.23552325653362136,,,,0.0,0.005203617554924183,VISp_to_VISam_FF,FF,VISp,VISam
221057_107,8877.919921875,455.447998046875,7493.2998046875,False,593,VISp1,VISp,1,1,3,9,1,5,0,18,677.7828,2486.0194,407.8636,1176.0677,69.1474,4816.8809,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.16666666666666666,0.5,0.05555555555555555,0.2777777777777778,0.0,0.14070989382361518,0.5161056400626389,0.08467379793426073,0.24415544507234963,0.014355223107135575,0.004426196710804701,0.00362024528046724,0.0024518000625699376,0.0042514559323413095,0.0,VISp_to_VISam_FF,FF,VISp,VISam
221057_152,9082.7197265625,659.97998046875,7869.64013671875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,108.5165,108.5165,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,0.009215188473642258,VISp_to_VISam_FF,FF,VISp,VISam
221057_156,9406.3203125,672.4719848632812,7452.33984375,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,123.419,42.2846,0.0,0.0,165.7036,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.7448178554961993,0.2551821445038008,0.0,0.0,,0.008102480169179787,0.0,,,VISp_to_VISam_FF,FF,VISp,VISam
221364_052,7840.56005859375,755.1640014648438,8106.85986328125,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,177.7184,0.0,177.7184,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.005626879377712155,,VISp_to_VISam_FF,FF,VISp,VISam
221364_087,7904.97998046875,705.9580078125,8335.8798828125,False,821,VISp2/3,VISp,2/3,2/3,0,1,1,0,0,2,0.0,121.5406,61.924,0.0,0.0,183.4646,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.5,0.5,0.0,0.0,0.0,0.6624743956054738,0.3375256043945263,0.0,0.0,,0.008227703335346379,0.016148827595116596,,,VISp_to_VISam_FF,FF,VISp,VISam
221479_216,8404.3798828125,784.7039794921875,3580.60009765625,False,821,VISp2/3,VISp,2/3,2/3,0,1,4,5,0,10,0.0,89.5181,271.2638,465.4004,50.6257,876.808,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.1,0.4,0.5,0.0,0.0,0.10209544164743023,0.30937651116321935,0.5307894088557586,0.05773863833359185,,0.01117092520953863,0.014745793578059439,0.010743437263912966,0.0,VISp_to_VISam_FF,FF,VISp,VISam
221479_226,9409.6396484375,671.0700073242188,4165.89990234375,False,821,VISp2/3,VISp,2/3,2/3,1,0,0,0,0,1,58.3633,0.0,0.0,0.0,0.0,58.3633,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01713405513396261,,,,,VISp_to_VISam_FF,FF,VISp,VISam
221481_507,8489.3798828125,960.0159912109376,2939.10009765625,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,202.0494,0.0,0.0,0.0,202.0494,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.004949284679885217,,,,VISp_to_VISam_FF,FF,VISp,VISam
221481_513,8406.0,873.5120239257812,3012.360107421875,False,821,VISp2/3,VISp,2/3,2/3,0,2,0,2,0,4,0.0,403.9646,140.0015,369.931,0.0,913.8970999999999,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.5,0.0,0.5,0.0,0.0,0.4420241622388342,0.1531917543014416,0.40478408345972433,0.0,,0.004950928868519667,0.0,0.005406413628487475,,VISp_to_VISam_FF,FF,VISp,VISam
221701_034,9279.2998046875,710.4840087890625,3863.159912109375,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,13.653,0.0,0.0,0.0,13.653,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.07324397568300008,,,,VISp_to_VISam_FF,FF,VISp,VISam
221701_035,9326.9404296875,635.885986328125,3975.97998046875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,242.3546,0.0,242.3546,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0041261853498963915,,VISp_to_VISam_FF,FF,VISp,VISam
221701_039,9446.900390625,651.4619750976562,3797.159912109375,False,821,VISp2/3,VISp,2/3,2/3,17,31,0,2,0,50,1785.3743,8201.5181,365.6034,1202.2402,126.3018,11681.037799999998,data/axon_length_byNeuron_VISp_to_VISam_FF.csv,0.34,0.62,0.0,0.04,0.0,0.15284380810752965,0.702122383338234,0.031298879967668634,0.10292237903724617,0.010812549549321723,0.009521812876997278,0.003779788037046459,0.0,0.001663561075399076,0.0,VISp_to_VISam_FF,FF,VISp,VISam
