neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_099,8768.5,545.4359741210938,7768.47998046875,False,821,VISp2/3,VISp,2/3,2/3,0,4,0,3,0,7,0.0,1028.4078,318.8877,632.1228,0.0,1979.4182999999998,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.5195505164320245,0.16110172367306094,0.3193477598949146,0.0,,0.0038895076447300384,0.0,0.004745913294062483,,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_123,9917.740234375,983.5880126953124,7276.02001953125,False,593,VISp1,VISp,1,1,0,1,0,0,0,1,14.9315,126.3618,0.0,0.0,0.0,141.2933,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,1.0,0.0,0.0,0.0,0.10567733926520224,0.8943226607347978,0.0,0.0,0.0,0.0,0.00791378407081887,,,,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_133,10147.2001953125,1452.31005859375,8294.6396484375,False,821,VISp2/3,VISp,2/3,2/3,4,14,1,1,0,20,249.5406,3065.0106,657.964,1162.4481,1692.997,6827.9603,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.2,0.7,0.05,0.05,0.0,0.036546873302705056,0.4488910985613083,0.09636318477129986,0.1702482218591693,0.24795062150551755,0.016029455727845487,0.004567684039983418,0.0015198399912457216,0.0008602534599179094,0.0,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_135,10254.7001953125,1886.6400146484373,8457.1396484375,False,821,VISp2/3,VISp,2/3,2/3,8,11,2,13,0,34,1153.7079,4361.5814,976.0377,5623.367,0.0,12114.694,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.23529411764705882,0.3235294117647059,0.058823529411764705,0.38235294117647056,0.0,0.0952321123422515,0.36002406664171627,0.08056643444729186,0.46417738656874047,0.0,0.0069341641848859655,0.002522021026593703,0.002049101177136908,0.002311782247183938,,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_137,9976.4404296875,1332.2099609375,8591.1396484375,False,593,VISp1,VISp,1,1,4,8,6,15,0,33,1052.0163,3421.0422,3738.3709,5992.0601,136.1168,14339.6063,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.12121212121212122,0.24242424242424243,0.18181818181818182,0.45454545454545453,0.0,0.0733643782116947,0.23857295161583342,0.2607024782821269,0.41786782528332034,0.00949236660702463,0.0038022224560589034,0.002338468668992157,0.0016049771840455959,0.0025033126753852154,0.0,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_139,10146.7001953125,1364.1700439453125,7861.89990234375,False,593,VISp1,VISp,1,1,1,4,0,1,0,6,36.4611,756.0209,0.0,278.3875,0.0,1070.8695,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,0.034048126312309766,0.7059878911482678,0.0,0.2599639825394224,0.0,0.02742649014977606,0.005290859022548187,,0.003592115306901352,,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_149,8860.9599609375,526.5960083007812,7636.580078125,False,821,VISp2/3,VISp,2/3,2/3,8,17,0,4,0,29,900.6495,4646.6645,0.0,3236.7627,0.0,8784.076700000001,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.27586206896551724,0.5862068965517241,0.0,0.13793103448275862,0.0,0.10253206236234251,0.5289872411974726,0.0,0.3684806964401847,0.0,0.008882478700093654,0.0036585382912839954,,0.001235802674073079,,VISp_to_VISpl_FF,FF,VISp,VISpl
221057_167,9964.4404296875,1149.030029296875,7520.2998046875,False,821,VISp2/3,VISp,2/3,2/3,0,1,0,0,0,1,0.0,8.1185,189.1252,0.0,0.0,197.24370000000002,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.041159742998128704,0.9588402570018713,0.0,0.0,,0.12317546344768124,0.0,,,VISp_to_VISpl_FF,FF,VISp,VISpl
221481_241,8808.7802734375,1418.6700439453125,9125.98046875,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,439.9557,2.2615,442.2172,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.994885997197757,0.005114002802242879,,,,0.0,0.4421843908910016,VISp_to_VISpl_FF,FF,VISp,VISpl
221481_257,9980.759765625,1760.1800537109375,8907.51953125,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,2,0,2,0.0,0.0,0.0,286.3402,0.0,286.3402,data/axon_length_byNeuron_VISp_to_VISpl_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0069846986207315635,,VISp_to_VISpl_FF,FF,VISp,VISpl
