neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_071,8066.39990234375,719.8900146484375,7946.580078125,False,821,VISp2/3,VISp,2/3,2/3,8,8,4,2,0,22,1066.5218,2891.6861,685.546,852.421,0.0,5496.1749,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.19404800964394345,0.5261270160816752,0.12473147461155212,0.15509349966282915,0.0,0.007501018732106554,0.002766552012682151,0.005834765281979619,0.0023462584802579943,,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_088,8277.1396484375,645.4639892578125,7849.919921875,False,821,VISp2/3,VISp,2/3,2/3,16,13,0,5,0,34,2469.971,2684.4629,116.5364,1736.6023,0.0,7007.5725999999995,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.47058823529411764,0.38235294117647056,0.0,0.14705882352941177,0.0,0.35247169611913837,0.3830802837490403,0.016630066736661425,0.24781795339516,0.0,0.00647780884876786,0.0048426819383497535,0.0,0.002879185407044549,,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_090,8548.9599609375,650.72802734375,7675.56005859375,False,821,VISp2/3,VISp,2/3,2/3,16,21,8,10,0,55,1818.9107,3873.8579,1302.1291,2961.6892,0.0,9956.586899999998,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.2909090909090909,0.38181818181818183,0.14545454545454545,0.18181818181818182,0.0,0.1826841585644173,0.3890748846876434,0.1307806694279945,0.297460287319945,0.0,0.008796473625670573,0.005420952585793093,0.006143784053363065,0.00337645151962603,,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_098,8167.419921875,680.760009765625,7893.39990234375,False,821,VISp2/3,VISp,2/3,2/3,3,14,2,20,0,39,134.172,2772.489,703.7904,4650.8865,220.0246,8481.3625,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.07692307692307693,0.358974358974359,0.05128205128205128,0.5128205128205128,0.0,0.015819628037358386,0.3268919351106618,0.08298081823527766,0.5483654896250455,0.025942128991656706,0.022359359627940258,0.005049614263573273,0.0028417551589223155,0.004300255445924127,0.0,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_099,8768.5,545.4359741210938,7768.47998046875,False,821,VISp2/3,VISp,2/3,2/3,2,0,5,5,1,13,152.2291,15.1921,1048.4409,940.5207,101.4435,2257.8263,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.15384615384615385,0.0,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.06742285710818409,0.006728639842666373,0.46435852926330073,0.4165602553216782,0.044929718464170605,0.013138092519761335,0.0,0.0047689860248679725,0.005316204098431858,0.009857704042151543,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_101,8701.1201171875,634.3079833984375,7614.8798828125,False,821,VISp2/3,VISp,2/3,2/3,1,3,0,2,0,6,220.2353,668.84,55.4368,146.0184,0.0,1090.5304999999998,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.16666666666666666,0.5,0.0,0.3333333333333333,0.0,0.20195244424617195,0.6133161796024963,0.05083470842860425,0.13389666772272765,0.0,0.00454059816932163,0.004485377668799713,0.0,0.013696903951830727,,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_102,8722.2802734375,587.68798828125,7563.81982421875,False,821,VISp2/3,VISp,2/3,2/3,2,4,2,1,0,9,256.4767,765.907,842.5824,846.6847,29.2326,2740.8834,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.09357446580908914,0.2794380089280704,0.3074127122664174,0.3089094194959187,0.010665393500504253,0.007797979309621498,0.005222566186234099,0.0023736550870276903,0.0011810772061902146,0.0,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_103,8728.5,558.0980224609375,7577.2998046875,False,821,VISp2/3,VISp,2/3,2/3,1,3,0,4,0,8,1.8956,747.5015,222.0695,1112.8723,466.1476,2550.4865,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.125,0.375,0.0,0.5,0.0,0.0007432307522506,0.2930819277028128,0.08706946694287541,0.4363372634985521,0.18276811110350907,0.5275374551593163,0.004013369872836375,0.0,0.003594302778494891,0.0,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_107,8877.919921875,455.447998046875,7493.2998046875,False,593,VISp1,VISp,1,1,14,13,3,4,0,34,2922.7161,3623.0848,929.8889,1867.275,654.6203,9997.5851,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.4117647058823529,0.38235294117647056,0.08823529411764706,0.11764705882352941,0.0,0.29234220771974223,0.3623959950088347,0.09301135131122815,0.1867726037160714,0.06547784224412354,0.004790064967309004,0.003588102602511539,0.003226191860124365,0.0021421590285308806,0.0,VISp_to_VISpm_FF,FF,VISp,VISpm
221057_133,10147.2001953125,1452.31005859375,8294.6396484375,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,125.9522,0.0,125.9522,data/axon_length_byNeuron_VISp_to_VISpm_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.007939519913109894,,VISp_to_VISpm_FF,FF,VISp,VISpm
