neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_099,8768.5,545.4359741210938,7768.47998046875,False,821,VISp2/3,VISp,2/3,2/3,3,5,0,0,0,8,660.6914,2039.2549,28.1597,2109.174,386.4132,5223.693200000001,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.375,0.625,0.0,0.0,0.0,0.12647974808321438,0.39038565664614444,0.005390764526523112,0.4037706502365031,0.0739731805076148,0.004540697820495317,0.0024518759278204997,0.0,0.0,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_123,9917.740234375,983.5880126953124,7276.02001953125,False,593,VISp1,VISp,1,1,1,0,0,1,0,2,219.4204,287.5625,0.0,113.7899,2.0219,622.7946999999999,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.5,0.0,0.0,0.5,0.0,0.3523157791805229,0.4617292022555748,0.0,0.18270852337054252,0.003246495193359867,0.004557461384629688,0.0,,0.008788126186946292,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_131,9786.3603515625,1053.469970703125,8119.56005859375,False,821,VISp2/3,VISp,2/3,2/3,0,0,1,0,0,1,0.0,7.0613,66.9665,0.0,0.0,74.0278,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.09538713834532432,0.9046128616546756,0.0,0.0,,0.0,0.014932839554105412,,,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_133,10147.2001953125,1452.31005859375,8294.6396484375,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,3,0,3,87.9738,37.3967,0.0,507.5475,169.3635,802.2815,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,0.0,1.0,0.0,0.10965452899013624,0.046612940719685046,0.0,0.6326301927689969,0.21110233752118174,0.0,0.0,,0.005910776823844073,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_135,10254.7001953125,1886.6400146484373,8457.1396484375,False,821,VISp2/3,VISp,2/3,2/3,1,3,0,3,0,7,8.6425,1096.8452,0.0,2127.1715,0.0,3232.6592,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0026734955543720787,0.3393012167815277,0.0,0.6580252876641002,0.0,0.11570726063060457,0.0027351170429519133,,0.0014103235211641375,,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_137,9976.4404296875,1332.2099609375,8591.1396484375,False,593,VISp1,VISp,1,1,0,0,0,5,0,5,0.0,0.0,0.0,1409.1546,46.0434,1455.198,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9683593572833388,0.031640642716661234,,,,0.0035482267169265882,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_150,9064.9599609375,563.1820068359375,7771.9599609375,False,821,VISp2/3,VISp,2/3,2/3,0,0,2,0,0,2,0.0,0.0,57.0136,0.0,0.0,57.0136,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.035079349488543084,,,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_160,9226.1796875,558.114013671875,7285.52001953125,False,821,VISp2/3,VISp,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,220.6627,20.0696,240.7323,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9166310461869885,0.08336895381301139,,,,0.004531803517313982,0.0,VISp_to_VISpor_FF,FF,VISp,VISpor
221057_167,9964.4404296875,1149.030029296875,7520.2998046875,False,821,VISp2/3,VISp,2/3,2/3,0,0,1,0,0,1,0.0,32.6755,78.0162,0.0,0.0,110.6917,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.2951937679157516,0.7048062320842484,0.0,0.0,,0.0,0.012817850651531348,,,VISp_to_VISpor_FF,FF,VISp,VISpor
221481_258,10054.5,1805.3599853515625,8880.4404296875,False,821,VISp2/3,VISp,2/3,2/3,0,3,1,2,0,6,0.0,171.401,46.4272,317.0936,0.0,534.9218,data/axon_length_byNeuron_VISp_to_VISpor_FF.csv,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.32042253652776914,0.08679249938963042,0.5927849640826005,0.0,,0.01750281503608497,0.0215390977702726,0.00630728592440844,,VISp_to_VISpor_FF,FF,VISp,VISpor
