neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_071,8066.39990234375,719.8900146484375,7946.580078125,False,821,VISp2/3,VISp,2/3,2/3,0,1,2,2,0,5,0.0,545.8868,251.8851,1091.0891,0.0,1888.8609999999999,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.0,0.2,0.4,0.4,0.0,0.0,0.28900316116432073,0.13335290421052687,0.5776439346251524,0.0,,0.0018318816282057013,0.007940128256891733,0.0018330308679648621,,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_090,8548.9599609375,650.72802734375,7675.56005859375,False,821,VISp2/3,VISp,2/3,2/3,2,24,3,1,0,30,544.8534,3841.9401,435.2811,53.119,0.0,4875.1936,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.06666666666666667,0.8,0.1,0.03333333333333333,0.0,0.11176036168081613,0.7880589808782158,0.08928488501461768,0.010895772426350413,0.0,0.00367071215853659,0.006246843879736699,0.006892098002876762,0.01882565560345639,,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_098,8167.419921875,680.760009765625,7893.39990234375,False,821,VISp2/3,VISp,2/3,2/3,14,30,2,3,0,49,2154.8147,4994.4251,468.5436,1390.1712,0.0,9007.954600000001,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.2857142857142857,0.6122448979591837,0.04081632653061224,0.061224489795918366,0.0,0.23921242897916023,0.5544460781363174,0.05201442733736691,0.1543270655471554,0.0,0.006497078379871828,0.006006697347408413,0.004268546192926336,0.00215800758928109,,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_107,8877.919921875,455.447998046875,7493.2998046875,False,593,VISp1,VISp,1,1,2,5,1,1,1,10,157.9747,1060.5585,569.8157,455.3476,277.2757,2520.9722,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.2,0.5,0.1,0.1,0.1,0.06266419756631986,0.4206942464498419,0.22603014027683446,0.18062380854497323,0.10998760716203057,0.012660255091479838,0.0047144971258068265,0.0017549533998448973,0.002196124455251329,0.0036065187104387443,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_130,9857.33984375,1042.3499755859375,7893.83984375,False,821,VISp2/3,VISp,2/3,2/3,0,3,0,0,1,4,0.0,609.3236,20.3607,756.2437,97.3719,1483.2999,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.0,0.75,0.0,0.0,0.25,0.0,0.4107892139681261,0.01372662399559253,0.5098387049038431,0.06564545713243829,,0.0049234922133329475,0.0,0.0,0.01026990332939996,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_150,9064.9599609375,563.1820068359375,7771.9599609375,False,821,VISp2/3,VISp,2/3,2/3,0,0,2,0,0,2,0.0,0.0,525.135,203.0725,85.7728,813.9802999999999,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.645144606079533,0.24948085352925617,0.10537454039121096,,,0.003808544469517362,0.0,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl
221057_156,9406.3203125,672.4719848632812,7452.33984375,False,821,VISp2/3,VISp,2/3,2/3,4,27,4,0,0,35,704.1351,5772.1085,391.0789,34.1055,0.0,6901.428,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.11428571428571428,0.7714285714285715,0.11428571428571428,0.0,0.0,0.10202744997122334,0.8363643727066341,0.05666637397361821,0.004941803348524392,0.0,0.005680728030742964,0.0046776667486413325,0.010228115093910717,0.0,,VISp_to_VISrl_FF,FF,VISp,VISrl
221364_052,7840.56005859375,755.1640014648438,8106.85986328125,False,821,VISp2/3,VISp,2/3,2/3,3,11,2,7,0,23,60.1499,2365.6415,1011.3232,1634.3777,311.6767,5383.169,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.13043478260869565,0.4782608695652174,0.08695652173913043,0.30434782608695654,0.0,0.011173697128958798,0.4394514643697793,0.18786762964343123,0.30360884081476913,0.05789836804306162,0.04987539463906008,0.0046499015171994566,0.001977607158621497,0.004282975716078358,0.0,VISp_to_VISrl_FF,FF,VISp,VISrl
221364_080,8055.919921875,817.3759765625,8341.8203125,False,821,VISp2/3,VISp,2/3,2/3,5,10,1,15,0,31,662.8714,3538.4276,882.8575,3604.4497,0.0,8688.6062,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.16129032258064516,0.3225806451612903,0.03225806451612903,0.4838709677419355,0.0,0.07629202943965857,0.40724916270229855,0.10161094652903016,0.4148478613290127,0.0,0.007542941210014492,0.0028261140626418355,0.0011326856259362356,0.004161522908753589,,VISp_to_VISrl_FF,FF,VISp,VISrl
221364_081,8021.2001953125,829.5040283203125,8383.51953125,False,821,VISp2/3,VISp,2/3,2/3,8,16,2,30,0,56,629.9209,5889.5751,245.896,6204.0037,0.0,12969.395700000001,data/axon_length_byNeuron_VISp_to_VISrl_FF.csv,0.14285714285714285,0.2857142857142857,0.03571428571428571,0.5357142857142857,0.0,0.048569795738439836,0.4541133015164307,0.01895971143821296,0.47835719130691645,0.0,0.012700007254879145,0.0027166645688922447,0.008133519862055504,0.0048355870580799295,,VISp_to_VISrl_FF,FF,VISp,VISrl
