neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221481_262,9788.7998046875,2084.1201171875,9385.8203125,False,269,VISpl2/3,VISpl,2/3,2/3,3,2,0,0,2,7,757.172,235.4433,98.6474,0.0,3114.7417,4206.0044,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,0.1800216851889171,0.05597790149720243,0.0234539459825577,0.0,0.7405464673313229,0.0039621116470233975,0.008494614202230431,0.0,,0.0006421078190849661,VISpl_to_VISp_FB,FB,VISpl,VISp
230066_080,10196.7998046875,2067.659912109375,8983.919921875,False,269,VISpl2/3,VISpl,2/3,2/3,5,4,0,0,0,9,123.507,188.7601,0.0,0.0,0.0,312.2671,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.3955171710372306,0.6044828289627693,0.0,0.0,0.0,0.04048353534617471,0.021190919055457166,,,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_051,10195.599609375,2041.1400146484373,8377.7197265625,False,269,VISpl2/3,VISpl,2/3,2/3,1,0,0,0,0,1,41.2907,0.0,0.0,0.0,0.0,41.2907,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024218528627511764,,,,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_052,10192.599609375,1999.5699462890625,8366.2998046875,False,269,VISpl2/3,VISpl,2/3,2/3,13,0,0,8,0,21,1623.7173,863.5302,171.7679,2410.1114,409.8445,5478.9713,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.6190476190476191,0.0,0.0,0.38095238095238093,0.0,0.2963544087190236,0.15760808967917025,0.03135039236288754,0.4398839249258341,0.07480318431308446,0.008006319819342937,0.0,0.0,0.0033193486408968484,0.0,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_054,10191.099609375,2109.719970703125,8502.0400390625,False,269,VISpl2/3,VISpl,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,201.9177,0.0,201.9177,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.004952512830722617,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_067,10106.7998046875,1960.219970703125,9004.1396484375,False,269,VISpl2/3,VISpl,2/3,2/3,1,0,0,0,0,1,49.3591,132.4098,0.0,0.0,0.0,181.76889999999997,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.2715486532624668,0.7284513467375333,0.0,0.0,0.0,0.020259688689623596,0.0,,,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_069,10064.7998046875,1958.75,9090.01953125,False,269,VISpl2/3,VISpl,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,51.6885,433.9137,485.6022,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10644206307137817,0.8935579369286218,,,,0.019346663184267296,0.0,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_078,9918.080078125,1967.8299560546875,9227.759765625,False,269,VISpl2/3,VISpl,2/3,2/3,1,0,0,1,0,2,302.1666,339.243,212.2008,291.5986,0.0,1145.2089999999998,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.5,0.0,0.0,0.5,0.0,0.26385279892141966,0.2962280247535603,0.18529438731270886,0.2546247890123113,0.0,0.0033094326110165713,0.0,0.0,0.0034293717459548847,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_081,9910.8798828125,2013.0999755859373,9385.6396484375,False,269,VISpl2/3,VISpl,2/3,2/3,1,1,0,1,0,3,240.3356,110.0357,0.0,327.0497,0.0,677.421,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.35478026220031555,0.1624332579001832,0.0,0.48278647989950113,0.0,0.004160848413634934,0.009087959634918485,,0.003057639251771214,,VISpl_to_VISp_FB,FB,VISpl,VISp
233668_094,9991.6796875,2018.06005859375,9312.7802734375,False,269,VISpl2/3,VISpl,2/3,2/3,2,0,0,0,0,2,188.045,112.1454,0.0,0.0,0.0,300.19039999999995,data/axon_length_byNeuron_VISpl_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.6264190993449491,0.37358090065505095,0.0,0.0,0.0,0.010635752080619001,0.0,,,,VISpl_to_VISp_FB,FB,VISpl,VISp
