neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221057_066,7908.5,505.9700012207031,7722.16015625,False,41,VISpm2/3,VISpm,2/3,2/3,0,0,1,3,0,4,22.4483,27.4105,20.0477,2490.1066,1096.0036,3656.0167,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.0,0.0,0.25,0.75,0.0,0.006140097773623408,0.007497367285001734,0.005483481516919767,0.6810982564713121,0.299780796953143,0.0,0.0,0.04988103373454312,0.0012047676995033064,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_067,7925.83984375,491.9320068359375,7788.10009765625,False,805,VISpm1,VISpm,1,1,0,0,1,4,2,7,42.9194,46.9878,1320.2178,793.9862,516.457,2720.5682,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.015775895638271448,0.01727131854294261,0.48527281911183107,0.2918457254627912,0.18983424124416362,0.0,0.0,0.0007574507781973551,0.0050378709352882954,0.003872539243344557,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_068,7956.39990234375,501.5719909667969,7821.16015625,False,805,VISpm1,VISpm,1,1,2,1,1,7,0,11,811.4489,568.2857,807.3371,2162.7429,2586.2001,6936.0147,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.0,0.116990654590164,0.0819325974035205,0.11639783577736651,0.3118134827482416,0.37286542948070744,0.002464726984040523,0.0017596782745017163,0.0012386399683601806,0.003236630669322738,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_070,7989.83984375,652.2559814453125,7897.81982421875,False,41,VISpm2/3,VISpm,2/3,2/3,11,24,7,11,0,53,1625.3176,6183.4747,938.6286,4824.0835,212.1114,13783.615800000001,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.20754716981132076,0.4528301886792453,0.1320754716981132,0.20754716981132076,0.0,0.11791663548834551,0.4486104944973872,0.06809741461307997,0.34998679374101527,0.015388661660171925,0.0067679080076410904,0.003881312880604169,0.00745768880257857,0.002280225870883039,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_079,8056.7998046875,454.7319946289063,7365.56005859375,False,41,VISpm2/3,VISpm,2/3,2/3,29,10,1,3,0,43,9902.566,6082.2036,1291.3215,3152.0203,1610.3132,22038.4246,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.6744186046511628,0.23255813953488372,0.023255813953488372,0.06976744186046512,0.0,0.4493318456165874,0.27598177775375105,0.058594092973415175,0.14302384844695298,0.0730684352092935,0.002928533876976937,0.0016441409491783539,0.0007744004881820678,0.0009517705200058514,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_080,8074.81982421875,447.7879943847656,7431.8798828125,False,41,VISpm2/3,VISpm,2/3,2/3,1,0,1,1,0,3,972.5312,0.0,238.8588,407.8734,21.9939,1641.2573,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5925525510229261,0.0,0.14553403661936493,0.24851277127602114,0.013400641081687802,0.0010282446465470722,,0.004186573825205519,0.0024517411530146365,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_081,8149.9599609375,436.35400390625,7469.580078125,False,41,VISpm2/3,VISpm,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,2173.9082,290.87489999999997,2464.7830999999996,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.881987628039157,0.11801237196084313,,,,0.0004600010248822835,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_084,8178.6201171875,437.1419982910156,7517.080078125,False,805,VISpm1,VISpm,1,1,1,0,0,2,0,3,70.169,0.0,68.052,989.3801,459.3115,1586.9125999999999,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.04421730598143842,0.0,0.04288326905968231,0.6234622499058865,0.2894371750529929,0.014251307557468399,,0.0,0.0020214677857377564,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_087,8195.080078125,501.2120056152344,7704.8798828125,False,41,VISpm2/3,VISpm,2/3,2/3,15,8,8,7,0,38,3019.7001,1731.6616,1025.0337,1407.4863,824.1027,8007.9844,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.39473684210526316,0.21052631578947367,0.21052631578947367,0.18421052631578946,0.0,0.3770861616563589,0.2162418797918737,0.12800146064220605,0.17576036986285837,0.10291012804670299,0.00496738070114976,0.00461984027364238,0.007804621448055805,0.0049734054249764275,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_092,8540.259765625,485.7420043945313,7535.240234375,False,41,VISpm2/3,VISpm,2/3,2/3,6,13,5,9,0,33,971.7429,2255.5915,626.0141,1810.6264,1382.551,7046.525899999999,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.18181818181818182,0.3939393939393939,0.15151515151515152,0.2727272727272727,0.0,0.13790382860864814,0.3200997955602491,0.08884010488061928,0.25695306108219945,0.19620320986828418,0.006174472692313986,0.005763454951838575,0.007987040547489267,0.004970655459348212,0.0,VISpm_to_VISp_FB,FB,VISpm,VISp
221057_093,8506.33984375,542.3660278320312,7395.43994140625,False,41,VISpm2/3,VISpm,2/3,2/3,0,3,1,0,1,5,251.0965,329.5651,1880.5852,294.9521,8.3731,2764.5719999999997,data/axon_length_byNeuron_VISpm_to_VISp_FB.csv,0.0,0.6,0.2,0.0,0.2,0.09082653662122021,0.11921017068826567,0.6802446092921437,0.10668996864614125,0.003028714752229279,0.0,0.00910290561712997,0.0005317493724825655,0.0,0.11943007965986312,VISpm_to_VISp_FB,FB,VISpm,VISp
