neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area
221475_122,9347.5595703125,2502.760009765625,10145.900390625,False,312782632,VISpor1,VISpor,1,1,0,0,1,4,0,5,0.0,0.0,650.396,1108.9217,939.5939,2698.9116,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.24098455095750448,0.41087736997388136,0.34813807906861416,,,0.0015375248310260212,0.0036071076975047016,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
221622_013,9245.7001953125,2342.4599609375,9915.8203125,False,312782636,VISpor2/3,VISpor,2/3,2/3,5,9,0,1,0,15,1425.0066,4102.2799,576.4688,180.0569,0.0,6283.812199999999,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.3333333333333333,0.6,0.0,0.06666666666666667,0.0,0.22677421836381426,0.6528329888662173,0.09173870600397638,0.02865408676599215,0.0,0.0035087556787456284,0.0021939019811885578,0.0,0.005553799937686364,,VISpor_to_VISp_FB,FB,VISpor,VISp
221622_016,9238.01953125,2180.219970703125,9915.51953125,False,312782636,VISpor2/3,VISpor,2/3,2/3,20,1,0,0,0,21,4266.2921,1598.1132,477.0912,1470.7713,91.0511,7903.318899999999,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0,0.5398101929051604,0.20220785978913242,0.06036593057126925,0.18609540100931524,0.011520615725122772,0.004687911547359826,0.0006257379014202499,0.0,0.0,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
221702_017,9750.1201171875,2292.719970703125,9569.8603515625,False,312782636,VISpor2/3,VISpor,2/3,2/3,3,0,0,0,0,3,1822.2168,0.0,0.0,31.2328,700.3415,2553.7911,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.7135340083219806,0.0,0.0,0.012229974487733159,0.27423601719028623,0.0016463463622989319,,,0.0,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
221705_020,9523.599609375,2957.840087890625,10056.7001953125,False,312782636,VISpor2/3,VISpor,2/3,2/3,2,0,0,0,0,2,719.5621,185.9787,0.0,0.0,12.056099999999999,917.5969,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.78418104943467,0.20268017470416477,0.0,0.0,0.01313877586116518,0.002779468234916764,0.0,,,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
233795_034,9721.080078125,2310.43994140625,9702.51953125,False,312782636,VISpor2/3,VISpor,2/3,2/3,20,3,1,1,0,25,7326.6291,1518.2387,343.3105,2157.7223,1614.2685999999999,12960.169199999998,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.8,0.12,0.04,0.04,0.0,0.5653189388916312,0.11714651842662674,0.026489661878797078,0.16648874460682198,0.12455613619612313,0.0027297683186937906,0.001975973870248466,0.002912815075565705,0.0004634516684561308,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
233795_035,9528.7998046875,2433.919921875,9973.5703125,False,312782636,VISpor2/3,VISpor,2/3,2/3,5,1,0,0,0,6,1475.2448,317.8733,0.0,0.0,0.0,1793.1181,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.8227259543027311,0.1772740456972689,0.0,0.0,0.0,0.003389268004876208,0.00314590750465673,,,,VISpor_to_VISp_FB,FB,VISpor,VISp
221705_024,9194.5,2560.320068359375,9914.23046875,False,312782640,VISpor4,VISpor,4,4,15,17,0,0,0,32,1482.9846,3757.037,416.1505,1025.5201,2685.3503,9367.0425,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.46875,0.53125,0.0,0.0,0.0,0.1583194055113981,0.4010910594245729,0.044427096386079175,0.1094817387665317,0.28668069991141815,0.010114737536721555,0.004524842315899471,0.0,0.0,0.0,VISpor_to_VISp_FB,FB,VISpor,VISp
221063_064,9821.759765625,2758.60009765625,1877.9599609375,False,312782644,VISpor5,VISpor,5,5,8,5,1,0,6,20,5807.776,3835.8899,1133.6111,4137.535800000001,4877.9633,19792.7761,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,0.4,0.25,0.05,0.0,0.3,0.29342907587379824,0.19380252070855286,0.0572739818948389,0.20904272241022323,0.24645169911258688,0.00137746359363722,0.001303478496606485,0.0008821367398396151,0.0,0.0012300215542827063,VISpor_to_VISp_FB,FB,VISpor,VISp
221063_065,9760.01953125,2614.139892578125,1985.52001953125,False,312782644,VISpor5,VISpor,5,5,1,0,0,0,0,1,57.4546,148.9474,49.6452,148.2978,0.0,404.34499999999997,data/axon_length_byNeuron_VISpor_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.1420930146285969,0.36836711224325763,0.12277930974786384,0.3667605633802817,0.0,0.017405046767360665,0.0,0.0,0.0,,VISpor_to_VISp_FB,FB,VISpor,VISp
