neuron_id,x,y,z,oob_clipped,structure_id,structure_acronym,source_area,source_layer_raw,source_layer,tL1,tL23,tL4,tL5,tL6,tTotal,aL1,aL23,aL4,aL5,aL6,aTotal,axon_length_file,fT1,fT23,fT4,fT5,fT6,fA1,fA23,fA4,fA5,fA6,dTL1,dTL23,dTL4,dTL5,dTL6,connection_name,direction,expected_source_area,expected_target_area,cluster
212074_008,8471.830078125,1813.780029296875,9834.98046875,False,905,VISal2/3,VISal,2/3,2/3,14,1,6,7,0,28,2976.7756,1406.5311,1498.3627,2884.0477,3841.4794,12607.1965,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0357142857142857,0.2142857142857142,0.25,0.0,0.2361171732351439,0.1115657315248477,0.1188497934493207,0.2287620169956104,0.3047052847950772,0.0047030753678577,0.0007109689931491,0.004004370904321,0.0024271443221968,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221450_029,8427.400390625,1613.02001953125,1864.5400390625,False,905,VISal2/3,VISal,2/3,2/3,33,34,2,2,0,71,8384.5662,12459.2879,1299.3088,2051.3505,3025.7603,27220.2737,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4647887323943662,0.4788732394366197,0.028169014084507,0.028169014084507,0.0,0.3080265206885116,0.4577208898527717,0.0477331276797558,0.0753611268794847,0.111158334899476,0.0039358029041502,0.0027288879005677,0.0015392799617766,0.0009749674665543,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221450_031,8349.5,1565.030029296875,1933.280029296875,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,1,0,1,0.0,0.0,0.0,56.7008,630.2678000000001,686.9686,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08253768803989,0.91746231196011,,,,0.0176364354647553,0.0,VISal_to_VISp_FB,FB,VISal,VISp,5
221450_036,8339.9404296875,1398.2900390625,2118.47998046875,False,905,VISal2/3,VISal,2/3,2/3,8,14,0,3,0,25,3107.3252,4692.535,990.0195,1235.8532,0.0,10025.7329,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.32,0.56,0.0,0.12,0.0,0.3099349674476168,0.4680490739983707,0.0987478431626679,0.1232681153913446,0.0,0.0025745615553853,0.0029834620306508,0.0,0.0024274727775111,,VISal_to_VISp_FB,FB,VISal,VISp,4
221450_037,8452.98046875,1424.780029296875,2097.9599609375,False,905,VISal2/3,VISal,2/3,2/3,22,4,3,3,0,32,4186.5891,3211.3264,518.9568,780.1624,0.0,8697.0347,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.6875,0.125,0.09375,0.09375,0.0,0.4813812114604993,0.3692438297388878,0.059670544950223,0.0897044138503897,0.0,0.0052548744274903,0.0012455912298419,0.005780827999556,0.0038453532238928,,VISal_to_VISp_FB,FB,VISal,VISp,1
221477_048,8440.66015625,1779.8199462890625,9648.8203125,False,905,VISal2/3,VISal,2/3,2/3,0,1,0,1,1,3,0.0,116.3355,0.0,118.8087,21.2772,256.4214,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4536887326876773,0.0,0.4633337935133339,0.0829774737989886,,0.0085958284444559,,0.0084168920289507,0.0469986652379072,VISal_to_VISp_FB,FB,VISal,VISp,3
221478_364,7966.60009765625,1587.5699462890625,9516.4296875,False,905,VISal2/3,VISal,2/3,2/3,1,6,3,1,0,11,40.6936,2545.3623,569.3421,711.3408,288.5659,4155.3047,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0909090909090909,0.5454545454545454,0.2727272727272727,0.0909090909090909,0.0,0.0097931687175672,0.6125573173972055,0.1370157283532059,0.1711886014038874,0.0694451841281338,0.0245738887687498,0.002357228281412,0.0052692397066719,0.0014057959279152,0.0,VISal_to_VISp_FB,FB,VISal,VISp,4
221478_812,8419.6396484375,1598.0400390625,1912.97998046875,False,905,VISal2/3,VISal,2/3,2/3,1,0,0,7,1,9,145.1542,0.0,0.0,938.9066,1205.5921,2289.6529,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.1111111111111111,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0633957225568993,0.0,0.0,0.4100650364952696,0.526539240947831,0.0068892253892756,,,0.0074554806622937,0.0008294679435938,VISal_to_VISp_FB,FB,VISal,VISp,5
221481_201,8276.4599609375,1346.4100341796875,9148.1201171875,False,905,VISal2/3,VISal,2/3,2/3,12,3,3,0,1,19,1402.2644,592.9656,241.1292,53.697,1204.6822,3494.7384,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.631578947368421,0.1578947368421052,0.1578947368421052,0.0,0.0526315789473684,0.4012501765511261,0.1696738159285399,0.0689977824949644,0.0153650985721849,0.3447131264531846,0.0085575872852509,0.0050593154139127,0.0124414629169756,0.0,0.0008300944431651,VISal_to_VISp_FB,FB,VISal,VISp,1
221481_296,8360.98046875,1727.3599853515625,9710.8095703125,False,905,VISal2/3,VISal,2/3,2/3,0,2,0,7,1,10,74.1896,55.8494,128.0185,2124.3559,16.4042,2398.8176,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.2,0.0,0.7,0.1,0.0309275703163091,0.0232820536250859,0.0533673339732041,0.885584589674513,0.0068384524108877,0.0,0.0358105906240711,0.0,0.0032951164162276,0.06095999804928,VISal_to_VISp_FB,FB,VISal,VISp,4
221481_299,8376.51953125,1556.47998046875,9485.5,False,905,VISal2/3,VISal,2/3,2/3,2,0,0,2,0,4,71.5861,0.0,0.0,884.1786,224.9356,1180.7003,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.0,0.5,0.0,0.0606302039560759,0.0,0.0,0.7488594692488856,0.1905103267950385,0.0279383846864125,,,0.0022619864357721,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221481_576,8377.099609375,1480.949951171875,1980.0400390625,False,905,VISal2/3,VISal,2/3,2/3,0,1,0,0,2,3,0.0,43.8641,0.0,220.9201,1775.5221,2040.3063,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0214987818250622,0.0,0.1082779090570861,0.8702233091178515,,0.0227976864907749,,0.0,0.0011264292345333,VISal_to_VISp_FB,FB,VISal,VISp,3
221481_602,8463.400390625,1381.719970703125,2125.39990234375,False,905,VISal2/3,VISal,2/3,2/3,0,1,5,1,0,7,0.0,81.2037,1300.7139,830.3207,279.6423,2491.8806,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.1428571428571428,0.7142857142857143,0.1428571428571428,0.0,0.0,0.0325873157806999,0.5219808284554244,0.3332104676283446,0.112221388135531,,0.0123147097977062,0.0038440428752241,0.0012043539321613,0.0,VISal_to_VISp_FB,FB,VISal,VISp,6
221737_017,8277.6796875,1425.56005859375,2042.199951171875,False,905,VISal2/3,VISal,2/3,2/3,17,11,3,6,0,37,3618.6165,4767.6914,1603.3425,3111.37,224.0148,13325.035200000002,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4594594594594595,0.2972972972972973,0.081081081081081,0.1621621621621621,0.0,0.2715652488482731,0.3577995351186764,0.1203255733238137,0.2334980698587572,0.0168115728504792,0.0046979280617329,0.0023071963088886,0.0018710911735951,0.001928410957231,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221737_018,8200.2197265625,1458.530029296875,2009.8399658203125,False,905,VISal2/3,VISal,2/3,2/3,0,3,0,3,0,6,0.0,128.073,1046.9757,1526.396,147.2139,2848.6586,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.5,0.0,0.5,0.0,0.0,0.0449590554656145,0.367532880212462,0.5358297410577736,0.0516783232641496,,0.0234241409196317,0.0,0.0019654139554873,0.0,VISal_to_VISp_FB,FB,VISal,VISp,4
221737_048,8383.599609375,1342.6700439453125,2019.6400146484373,False,905,VISal2/3,VISal,2/3,2/3,7,8,0,9,0,24,3845.4958,2962.0662,200.8331,2643.6101,1466.8875,11118.8927,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.2916666666666667,0.3333333333333333,0.0,0.375,0.0,0.3458524066879429,0.2663993870540724,0.0180623291741991,0.23775839657127,0.1319274805125154,0.001820311440725,0.002700817422649,0.0,0.0034044354725381,0.0,VISal_to_VISp_FB,FB,VISal,VISp,4
221751_093,8537.9599609375,1783.8800048828125,1575.3800048828125,False,905,VISal2/3,VISal,2/3,2/3,2,0,1,1,0,4,945.825,573.1431,80.519,1038.7023,169.0018,2807.1912,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.0,0.25,0.25,0.0,0.3369293121181058,0.2041695984227935,0.0286831192688264,0.370014803409187,0.060203166781087,0.0021145560753839,0.0,0.0124194289546566,0.0009627397570988,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221751_094,8509.259765625,1712.4300537109375,1638.3199462890625,False,905,VISal2/3,VISal,2/3,2/3,11,1,0,1,0,13,2726.2227,1708.0931,1558.6752,2397.334,0.0,8390.325,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.8461538461538461,0.0769230769230769,0.0,0.0769230769230769,0.0,0.3249245649006444,0.2035788959307297,0.1857705392818514,0.2857259998867743,0.0,0.0040348868051021,0.0005854481819521,0.0,0.0004171300286067,,VISal_to_VISp_FB,FB,VISal,VISp,1
221751_095,8447.51953125,1771.739990234375,1676.8599853515625,False,905,VISal2/3,VISal,2/3,2/3,12,18,2,13,1,46,1228.9249,4202.4326,612.3616,3028.5934,1896.9983,10969.3108,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.2608695652173913,0.391304347826087,0.0434782608695652,0.2826086956521739,0.0217391304347826,0.1120330094029243,0.3831081712079851,0.0558249840090227,0.2760969631747512,0.1729368722053166,0.0097646324848654,0.0042832334776767,0.003266044115111,0.0042924216898841,0.0005271486010293,VISal_to_VISp_FB,FB,VISal,VISp,4
221751_100,8214.5595703125,1791.6300048828125,1643.800048828125,False,905,VISal2/3,VISal,2/3,2/3,1,1,0,2,0,4,67.217,109.356,0.0,581.9931,1289.9552,2048.5213,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.25,0.25,0.0,0.5,0.0,0.0328124486672411,0.0533828962383744,0.0,0.2841040022381022,0.6297006528562822,0.0148771888064031,0.0091444456637038,,0.0034364668584558,0.0,VISal_to_VISp_FB,FB,VISal,VISp,5
221759_018,8197.0595703125,1533.050048828125,9621.849609375,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,3,1,4,0.0,0.0,0.0,924.6243,1396.9971999999998,2321.6215,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.3982665994435355,0.6017334005564645,,,,0.0032445610611791,0.0007158210481738,VISal_to_VISp_FB,FB,VISal,VISp,5
221759_019,8184.2001953125,1640.22998046875,9736.4296875,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,0,1,1,0.0,0.0,0.0,1280.9364,4044.4167,5325.3531,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2405354867454704,0.7594645132545296,,,,0.0,0.000247254443391,VISal_to_VISp_FB,FB,VISal,VISp,3
221759_022,8360.740234375,1704.989990234375,9777.66015625,False,905,VISal2/3,VISal,2/3,2/3,3,0,0,1,0,4,119.8244,0.0,0.0,162.2064,702.8322,984.863,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.75,0.0,0.0,0.25,0.0,0.1216660591371591,0.0,0.0,0.1646994556603304,0.7136344852025104,0.0250366369453967,,,0.0061649848587971,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
230114_004,8409.6796875,1512.52001953125,9463.3896484375,False,905,VISal2/3,VISal,2/3,2/3,0,0,1,0,2,3,0.0,0.0,25.093,553.3145,1834.1411,2412.5486,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0104010339936778,0.2293485403775907,0.7602504256287314,,,0.0398517514844777,0.0,0.0010904286480467,VISal_to_VISp_FB,FB,VISal,VISp,3
230114_005,8249.98046875,1536.43994140625,9500.8896484375,False,905,VISal2/3,VISal,2/3,2/3,0,3,0,1,0,4,237.0216,225.879,0.0,320.09,424.9447,1207.9353,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.75,0.0,0.25,0.0,0.1962204432638072,0.1869959425806994,0.0,0.2649893582876499,0.3517942558678432,0.0,0.013281447146481,,0.0031241213408728,0.0,VISal_to_VISp_FB,FB,VISal,VISp,4
230114_065,8167.81982421875,1563.5999755859375,9565.7001953125,False,905,VISal2/3,VISal,2/3,2/3,1,1,1,0,0,3,2.1611,449.9733,239.1773,502.7772,663.4581000000001,1857.547,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0011634160535372,0.2422406001032544,0.1287597568190737,0.2706672832504372,0.3571689437736973,0.4627273147933923,0.0022223540818977,0.004180998782075,0.0,0.0,VISal_to_VISp_FB,FB,VISal,VISp,4
230114_066,8143.10009765625,1502.81005859375,9580.3798828125,False,905,VISal2/3,VISal,2/3,2/3,7,4,0,4,0,15,629.6153,1371.5201,530.6893,2105.0465,1884.8738,6521.744999999999,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.4666666666666667,0.2666666666666666,0.0,0.2666666666666666,0.0,0.0965409257798334,0.2102995593970632,0.0813722860982758,0.3227735061705111,0.2890137225543164,0.0111179000891496,0.002916472022539,0.0,0.0019001955538749,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
233795_056,8476.48046875,1661.5999755859375,9770.6201171875,False,1074,VISal1,VISal,1,1,0,0,1,2,0,3,0.0,103.1198,561.428,1993.8517,15.8841,2674.2836,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0385597847588041,0.2099358497356077,0.7455647935020803,0.0059395720035077,,0.0,0.0017811722963585,0.0010030836295397,0.0,VISal_to_VISp_FB,FB,VISal,VISp,6
233795_064,8044.52001953125,1684.5799560546875,9674.1396484375,False,905,VISal2/3,VISal,2/3,2/3,12,5,0,0,0,17,1389.6482,2273.5311,177.9066,650.3932,1580.139,6071.618100000001,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.7058823529411765,0.2941176470588235,0.0,0.0,0.0,0.2288760882374996,0.3744522568044917,0.0293013488447173,0.1071202419664701,0.2602500641468211,0.0086352790583976,0.0021992221703059,0.0,0.0,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
233795_065,8071.52001953125,1437.3299560546875,9535.9697265625,False,905,VISal2/3,VISal,2/3,2/3,4,1,1,0,0,6,1273.7738,426.8531,386.9319,408.7508,1335.3775,3831.6871,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.3324315808563804,0.1114008239347101,0.1009821235142086,0.1066764559141585,0.3485090157805423,0.0031402749844595,0.0023427263384054,0.0025844341084309,0.0,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
233795_066,7932.06005859375,1417.2099609375,9503.73046875,False,905,VISal2/3,VISal,2/3,2/3,0,0,0,1,0,1,48.5132,574.6635,250.2146,1056.4216,679.5014,2609.3143,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0,0.0,0.0,1.0,0.0,0.0185923175295517,0.2202354465309142,0.0958928558357266,0.4048656001310382,0.2604137799727691,0.0,0.0,0.0,0.0009465917773737,0.0,VISal_to_VISp_FB,FB,VISal,VISp,5
233795_078,8364.83984375,1269.8399658203125,9152.01953125,False,905,VISal2/3,VISal,2/3,2/3,1,10,0,2,0,13,89.2881,2876.3662,831.7027,399.5033,0.0,4196.8603,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.0769230769230769,0.7692307692307693,0.0,0.1538461538461538,0.0,0.0212749754858411,0.6853614355474257,0.1981725958331279,0.0951909931336051,0.0,0.0111997007439961,0.0034766087850705,0.0,0.0050062164693007,,VISal_to_VISp_FB,FB,VISal,VISp,4
233795_079,8361.7001953125,1264.9000244140625,9340.0595703125,False,1074,VISal1,VISal,1,1,26,1,2,11,0,40,5656.8926,1466.5993,1876.4494,6697.3939,2051.2763,17748.611500000003,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.65,0.025,0.05,0.275,0.0,0.318723106875149,0.0826317765758746,0.1057237294308909,0.3773474843370141,0.115573902781071,0.0045961629181363,0.0006818495004054,0.001065842756005,0.0016424299009798,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
212074_015,8025.58984375,1734.260009765625,9547.419921875,False,1114,VISal4,VISal,4,4,3,0,0,1,0,4,3925.4125,186.999,164.3943,688.6771,51.1155,5016.5984,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.75,0.0,0.0,0.25,0.0,0.7824849005254237,0.0372760554243289,0.0327700738412706,0.1372796953409704,0.0101892748680061,0.0007642508908299,0.0,0.0,0.0014520593177847,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221419_050,8219.48046875,1520.8299560546875,2072.0,False,1114,VISal4,VISal,4,4,1,0,0,0,0,1,16.2004,0.0,0.0,0.0,0.0,16.2004,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0617268709414582,,,,,VISal_to_VISp_FB,FB,VISal,VISp,1
221419_055,8130.14013671875,1745.0799560546875,1928.06005859375,False,233,VISal5,VISal,5,5,3,0,0,0,0,3,2192.253,0.0,0.0,0.0,1402.4214,3594.6744,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.6098613548976787,0.0,0.0,0.0,0.3901386451023214,0.0013684551919874,,,,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221477_062,8062.39990234375,1608.8499755859375,2115.800048828125,False,233,VISal5,VISal,5,5,2,1,0,1,0,4,2266.7636,706.3951,242.7925,621.4273,726.1361,4563.5146,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.5,0.25,0.0,0.25,0.0,0.4967144402255227,0.1547919009615966,0.0532029633475917,0.1361729619534908,0.1591177335117981,0.000882315209226,0.0014156383587598,0.0,0.0016091986946823,0.0,VISal_to_VISp_FB,FB,VISal,VISp,1
221478_848,7887.52001953125,1585.780029296875,2018.3800048828125,False,1114,VISal4,VISal,4,4,3,2,1,2,0,8,2891.2805,860.0986,206.795,561.9389,0.0,4520.113,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,0.375,0.25,0.125,0.25,0.0,0.6396478362377223,0.1902825438213602,0.0457499624456291,0.1243196574952882,0.0,0.001037602543233,0.0023253147953037,0.0048357068594501,0.0035591058031398,,VISal_to_VISp_FB,FB,VISal,VISp,1
221480_107,8283.4599609375,1789.6199951171875,1869.8199462890625,False,1114,VISal4,VISal,4,4,2,0,0,0,0,2,1219.1076,418.0646,331.9736,0.0,0.0,1969.1458,data/axon_length_byNeuron_VISal_to_VISp_FB.csv,1.0,0.0,0.0,0.0,0.0,0.6191047915294032,0.2123075904282963,0.1685876180423003,0.0,0.0,0.0016405442800947,0.0,0.0,,,VISal_to_VISp_FB,FB,VISal,VISp,1
