connection_name,FB,FF
VISp_to_VISl_FF,0,271
VISp_to_VISpm_FF,0,196
VISp_to_VISrl_FF,0,189
VISp_to_RSPagl_FF,0,185
VISp_to_VISal_FF,0,165
VISp_to_VISpl_FF,0,146
ACAd_to_VISp_FB,134,0
VISp_to_RSPd_FF,0,130
VISp_to_VISam_FF,0,124
RSPagl_to_VISp_FB,119,0
VISrl_to_VISp_FB,111,0
RSPv_to_VISp_FB,111,0
VISp_to_VISpor_FF,0,108
VISp_to_VISli_FF,0,102
VISa_to_VISp_FB,100,0
VISl_to_VISp_FB,98,0
VISp_to_VISa_FF,0,96
RSPd_to_VISp_FB,89,0
VISpm_to_VISp_FB,87,0
VISal_to_VISp_FB,70,0
TEa_to_VISp_FB,70,0
VISp_to_RSPv_FF,0,57
VISam_to_VISp_FB,51,0
VISp_to_TEa_FF,0,46
VISpor_to_VISp_FB,33,0
