direction,cluster,connection_name,n_cluster,observed_n,observed_frac,expected_frac,log2_enrichment,pvalue,qvalue,sig
FB,1,ACAd_to_VISp_FB,580,66,0.1138,0.1183,-0.0555,0.6464244730038395,0.8616913867592724,ns
FB,1,RSPagl_to_VISp_FB,580,26,0.0448,0.105,-1.2203,6.466700533557322e-12,1.0864056896376302e-09,***
FB,1,RSPd_to_VISp_FB,580,45,0.0776,0.0786,-0.0178,0.9125075789422652,0.9954628133915621,ns
FB,1,RSPv_to_VISp_FB,580,65,0.1121,0.098,0.1932,0.1101289804446311,0.2890885736671566,ns
FB,1,TEa_to_VISp_FB,580,28,0.0483,0.0618,-0.353,0.06365062353201097,0.2010335093543312,ns
FB,1,VISa_to_VISp_FB,580,55,0.0948,0.0883,0.103,0.463908280237601,0.7216351025918237,ns
FB,1,VISal_to_VISp_FB,580,39,0.0672,0.0618,0.1213,0.460764873392005,0.7216351025918237,ns
FB,1,VISam_to_VISp_FB,580,34,0.0586,0.045,0.3778,0.03069944019991004,0.10744804069968515,ns
FB,1,VISl_to_VISp_FB,580,68,0.1172,0.0865,0.4369,0.00018869565087373868,0.001981304334174256,**
FB,1,VISli_to_VISp_FB,580,24,0.0414,0.0282,0.5439,0.006719187724869958,0.03762745125927177,*
FB,1,VISpl_to_VISp_FB,580,13,0.0224,0.0247,-0.1383,0.703061522167896,0.8865923295733241,ns
FB,1,VISpm_to_VISp_FB,580,31,0.0534,0.0768,-0.5191,0.002560477751269571,0.018702620096229913,*
FB,1,VISpor_to_VISp_FB,580,17,0.0293,0.0291,0.009,1.0,1.0,ns
FB,1,VISrl_to_VISp_FB,580,69,0.119,0.098,0.279,0.016328744961099362,0.0721902408806498,ns
FB,2,ACAd_to_VISp_FB,60,14,0.2333,0.1183,0.9777,0.011485089127448014,0.0622417733358473,ns
FB,2,RSPagl_to_VISp_FB,60,9,0.15,0.105,0.5123,0.2749439376039143,0.5370997850867163,ns
FB,2,RSPd_to_VISp_FB,60,5,0.0833,0.0786,0.0848,0.8060039740362406,0.9355265740822382,ns
FB,2,RSPv_to_VISp_FB,60,7,0.1167,0.098,0.2509,0.6530934553954111,0.8616913867592724,ns
FB,2,TEa_to_VISp_FB,60,3,0.05,0.0618,-0.3029,1.0,1.0,ns
FB,2,VISa_to_VISp_FB,60,1,0.0167,0.0883,-2.3743,0.056189689891424976,0.1815359211876807,ns
