target_layer,source_layer_A,source_layer_B,U_statistic,p_value,p_adjusted,significant
L1,L1,L2/3,127190.5,0.6719124843733332,0.6999088378888887,False
L1,L1,L4,44424.5,6.494952140245603e-07,1.202768914860297e-06,True
L1,L1,L5,127149.0,0.1969087004207397,0.22896360514039502,False
L1,L1,L6,41199.0,2.1390256727431115e-18,8.475621715130402e-18,True
L1,L2/3,L4,171093.5,1.7833061459581605e-12,4.052968513541274e-12,True
L1,L2/3,L5,488927.0,0.01875323855165351,0.02534221425899123,True
L1,L2/3,L6,158958.0,3.431900445182568e-24,2.4513574608446916e-23,True
L1,L4,L5,271356.5,3.0960254984814214e-06,5.528616961573966e-06,True
L1,L4,L6,78358.0,2.1327542979245195e-32,2.1327542979245196e-31,True
L1,L5,L6,168500.5,1.1156051717981439e-23,6.972532323738399e-23,True
L2/3,L1,L2/3,105866.5,0.00011722048111287277,0.0001890652921175367,True
L2/3,L1,L4,58545.0,0.5422458361653595,0.5768572725163399,False
L2/3,L1,L5,170263.0,3.725779039580507e-14,9.314447598951267e-14,True
L2/3,L1,L6,40579.0,1.2135220447919486e-16,3.370894568866524e-16,True
L2/3,L2/3,L4,258443.5,1.5911064268565684e-07,3.059820051647247e-07,True
L2/3,L2/3,L5,723244.0,7.654676413789083e-60,3.827338206894541e-58,True
L2/3,L2/3,L6,169363.0,2.147203832522198e-34,2.6840047906527476e-33,True
L2/3,L4,L5,294099.0,1.1095226935532525e-16,3.2633020398625076e-16,True
L2/3,L4,L6,70121.5,3.7913798473643576e-17,1.3540642312015565e-16,True
L2/3,L5,L6,135499.5,0.0005411215476454691,0.0007730307823506701,True
L4,L1,L2/3,123339.0,0.6980577643687442,0.7123038411925962,False
L4,L1,L4,59071.5,0.3542964521728812,0.40260960474191043,False
L4,L1,L5,158264.0,2.0489761925027382e-09,4.268700401047371e-09,True
L4,L1,L6,26896.0,0.10372508252218757,0.12965635315273444,False
L4,L2/3,L4,233878.0,0.04652602543246804,0.06121845451640531,False
L4,L2/3,L5,627727.5,1.8778466055415244e-23,9.389233027707623e-23,True
L4,L2/3,L6,106340.5,0.13097182709104985,0.15591884177505935,False
L4,L4,L5,270180.0,1.0095957706923366e-08,2.019191541384673e-08,True
L4,L4,L6,46215.5,0.012160327171768579,0.016889343294123026,True
L4,L5,L6,93240.0,8.206651966041385e-13,1.9539647538193774e-12,True
L5,L1,L2/3,143259.0,0.00027555818306118917,0.0004052326221488076,True
L5,L1,L4,78705.5,2.2036616459339045e-18,8.475621715130402e-18,True
L5,L1,L5,153145.0,0.000248995811085164,0.00037726638043206667,True
L5,L1,L6,28015.5,0.48088159756565174,0.5343128861840575,False
L5,L2/3,L4,275609.0,9.453004839671616e-15,2.487632852545162e-14,True
L5,L2/3,L5,527025.5,0.5400504385294593,0.5768572725163399,False
L5,L2/3,L6,94098.5,6.713158484922327e-05,0.00011188597474870545,True
L5,L4,L5,186946.5,1.657678937075704e-11,3.603649863208052e-11,True
L5,L4,L6,32220.5,6.736432092549579e-17,2.245477364183193e-16,True
L5,L5,L6,101885.5,0.00014251027100687839,0.0002226722984482475,True
L6,L1,L2/3,124094.5,0.7747902251396808,0.7747902251396808,False
L6,L1,L4,54009.5,0.10831017459717349,0.13208557877704083,False
L6,L1,L5,93567.5,8.1350428880407e-17,2.5422009025127187e-16,True
L6,L1,L6,15623.5,1.695941369396086e-23,9.389233027707623e-23,True
L6,L2/3,L4,211259.0,0.05583341962604254,0.07158130721287505,False
L6,L2/3,L5,366480.0,2.4598568425823656e-42,4.0997614043039425e-41,True
L6,L2/3,L6,61332.0,1.0059042594364931e-42,2.514760648591233e-41,True
L6,L4,L5,176383.5,1.1887052078756653e-18,5.403205490343934e-18,True
L6,L4,L6,29761.0,3.0991303362765804e-25,2.582608613563817e-24,True
L6,L5,L6,99672.5,9.659811707801016e-06,1.6654847772070718e-05,True
